id,name,level
PS-BTH,Bethlehem Bayt Laḩm,governorates
PS-DEB,Deir El Balah Dayr al Balaḩ,governorates
PS-GZA,Gaza Ghazzah,governorates
PS-HBN,Hebron Al Khalīl,governorates
PS-JEN,Jenin Janīn,governorates
PS-JRH,Jericho – Al Aghwar Arīḩā wa al Aghwār,governorates
PS-JEM,Jerusalem Al Quds,governorates
PS-KYS,Khan Yunis Khān Yūnis,governorates
PS-NBS,Nablus Nāblus,governorates
PS-NGZ,North Gaza Shamāl Ghazzah,governorates
PS-QQA,Qalqilya Qalqīlyah,governorates
PS-RFH,Rafah Rafaḩ,governorates
PS-RBH,Ramallah Rām Allāh wa al Bīrah,governorates
PS-SLT,Salfit Salfīt,governorates
PS-TBS,Tubas Ţūbās,governorates
PS-TKM,Tulkarm Ţūlkarm,governorates
