id,name,level
PY-16,Alto Paraguay Department,department
PY-10,Alto Paraná Department,department
PY-13,Amambay Department,department
PY-ASU,Asunción,capital
PY-19,Boquerón,department
PY-5,Caaguazú,department
PY-6,Caazapá,department
PY-14,Canindeyú Department,department
PY-11,Central,department
PY-1,Concepción,department
PY-3,Cordillera,department
PY-4,Guaira,department
PY-7,Itapúa Department,department
PY-8,Misiones Province,department
PY-9,Paraguarí,department
PY-15,Presidente Hayes Department,department
PY-2,San Pedro,department
PY-12,Ñeembucú Department,department
