id,name,level
RO-AB,Alba,county
RO-AR,Arad,county
RO-AG,Arges,county
RO-BC,Bacău,county
RO-BH,Bihor,county
RO-BN,Bistrița-Năsăud County,county
RO-BT,Botoșani,county
RO-BR,Brăila,county
RO-BV,Brașov,county
RO-B,Bucharest,city
RO-BZ,Buzău,county
RO-CL,Călărași,county
RO-CS,Caraș-Severin County,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-CV,Covasna,county
RO-DJ,Dolj County,county
RO-DB,Dâmbovița,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Gorj County,county
RO-HR,Harghita County,county
RO-HD,Hunedoara,county
RO-IL,Ialomița,county
RO-IS,Iași,county
RO-IF,Ilfov County,county
RO-MM,Maramureș,county
RO-MH,Mehedinți County,county
RO-MS,Mureș County,county
RO-NT,Neamț County,county
RO-OT,Olt,county
RO-PH,Prahova,county
RO-SJ,Sălaj,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Teleorman County,county
RO-TM,Timiș,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VN,Vrancea,county
RO-VL,Vâlcea County,county
