id,name,level
RS-00,Belgrade,city
RS-14,Bor District,district
RS-11,Braničevo District,district
RS-23,Jablanica District,district
RS-06,South Banat District,district
RS-04,South Banat District,district
RS-09,Kolubara District,district
RS-25,Kosovo District,district
RS-28,Kosovska Mitrovica District,district
RS-29,Kosovo-Pomoravlje District,district
RS-08,Mačva District,district
RS-17,Moravica District,district
RS-20,Nišava District,district
RS-26,Peć District,district
RS-22,Pirot District,district
RS-10,Podunavlje District,district
RS-13,Pomoravlje District,district
RS-27,Prizren District,district
RS-24,Pčinja District,district
RS-19,Rasina District,district
RS-18,Raška okrug,district
RS-03,North Banat District,district
RS-01,North Bačka District,district
RS-02,Central Banat District,district
RS-07,Syrmia District,district
RS-21,Toplièki okrug,district
RS-15,Zajeèarski okrug,district
RS-05,Zapadnobaèki okrug,district
RS-16,Zlatibor District,district
RS-12,Šumadija District,district
