id,name,level
RU-AD,Adygea,republic
RU-AGB,Agin-Buryat Okrug,autonomous district
RU-AL,Altai Republic,republic
RU-ALT,Altai Krai,administrative territory
RU-AMU,Amur Oblast,administrative region
RU-ARK,Arkhangelsk Oblast,administrative region
RU-AST,Astrakhan Oblast,administrative region
RU-BA,Bashkortostan,republic
RU-BEL,Belgorod Oblast,administrative region
RU-BRY,Bryansk Oblast,administrative region
RU-BU,Buryatia,republic
RU-CE,Chechnya,republic
RU-CHE,Chelyabinsk Oblast,administrative region
RU-CHI,Chita Oblast,administrative region
RU-CHU,Chukotka Autonomous Okrug,autonomous district
RU-CU,Chuvashia,republic
RU-DA,Dagestan,republic
RU-EVE,Evenk Autonomous Okrug,autonomous district
RU-IN,Ingushskaya Respublika,republic
RU-IRK,Irkutsk Oblast,administrative region
RU-IVA,Ivanovo Oblast,administrative region
RU-KB,Kabardino-Balkaria,republic
RU-KGD,Kaliningrad Oblast,administrative region
RU-KL,Kalmykia,republic
RU-KLU,Kaluga Oblast,administrative region
RU-KAM,Kamchatka Oblast,administrative territory
RU-KC,Karachay-Cherkessia,republic
RU-KR,Republic of Karelia,republic
RU-KEM,Kemerovo Oblast,administrative region
RU-KHA,Khabarovsk Krai,administrative territory
RU-KK,Khakassia,republic
RU-KHM,Khanty-Mansiyskiy avtonomnyy okrug,autonomous district
RU-KIR,Kirov Oblast,administrative region
RU-KO,Komi Republic,republic
RU-KOR,Koryak Okrug,autonomous district
RU-KOS,Kostroma Oblast,administrative region
RU-KDA,Krasnodar Krai,administrative territory
RU-KYA,Krasnoyarsk Krai,administrative territory
RU-KGN,Kurgan Oblast,administrative region
RU-KRS,Kursk Oblast,administrative region
RU-LEN,Leningrad Oblast,administrative region
RU-LIP,Lipetsk Oblast,administrative region
RU-MAG,Magadan Oblast,administrative region
RU-ME,Mari El,republic
RU-MO,Mordovia,republic
RU-MOS,Moscow Oblast,administrative region
RU-MOW,Moskva,autonomous city
RU-MUR,Murmansk Oblast,administrative region
RU-NEN,Nenets Autonomous Okrug,autonomous district
RU-NIZ,Nizhny Novgorod Oblast,administrative region
RU-NGR,Novgorod Oblast,administrative region
RU-NVS,Novosibirsk Oblast,administrative region
RU-OMS,Omsk Oblast,administrative region
RU-ORE,Orenburg Oblast,administrative region
RU-ORL,Oryol Oblast,administrative region
RU-PNZ,Penza Oblast,administrative region
RU-PER,Perm,administrative territory
RU-PRI,Primorsky Krai,administrative territory
RU-PSK,Pskov Oblast,administrative region
RU-ROS,Rostov Oblast,administrative region
RU-RYA,Ryazan Oblast,administrative region
RU-SA,Sakha,republic
RU-SAK,Sakhalin Oblast,administrative region
RU-SAM,Samara Oblast,administrative region
RU-SPE,Saint Petersburg,autonomous city
RU-SAR,Saratov Oblast,administrative region
RU-SE,Severnaya Osetiya,republic
RU-SMO,Smolensk Oblast,administrative region
RU-STA,Stavropol Krai,administrative territory
RU-SVE,Sverdlovsk Oblast,administrative region
RU-TAM,Tambov Oblast,administrative region
RU-TA,Tatarstan,republic
RU-TAY,Taymyrskiy  avtonomnyy okrug,autonomous district
RU-TOM,Tomsk Oblast,administrative region
RU-TUL,Tula Oblast,administrative region
RU-TVE,Tver Oblast,administrative region
RU-TYU,Tyumen Oblast,administrative region
RU-TY,Tyva,republic
RU-UD,Udmurtia,republic
RU-ULY,Ulyanovsk Oblast,administrative region
RU-UOB,Ust-Orda Buryat Okrug,autonomous district
RU-VLA,Vladimir Oblast,administrative region
RU-VGG,Volgograd Oblast,administrative region
RU-VLG,Vologda Oblast,administrative region
RU-VOR,Voronezh Oblast,administrative region
RU-YAN,Yamalo-Nenets Autonomous Okrug,autonomous district
RU-YAR,Yaroslavl Oblast,administrative region
RU-YEV,Jewish Autonomous Oblast,autonomous region
RU-ZAB,Zabaykalsky Krai,administrative territory
