id,name,level
SC-01,Anse-aux-Pins,district
SC-02,Anse Boileau,district
SC-05,Anse Royale,district
SC-03,Anse Etoile,district
SC-04,Au Cap,district
SC-06,Baie Lazare,district
SC-07,Baie Sainte Anne,district
SC-08,Beau Vallon,district
SC-09,Bel Air,district
SC-10,Bel Ombre,district
SC-11,Cascade,district
SC-16,English River,district
SC-12,Glacis,district
SC-15,La Digue,district
SC-24,Les Mamelles,district
SC-17,Mont Buxton,district
SC-18,Mont Fleuri,district
SC-19,Plaisance,district
SC-20,Pointe La Rue,district
SC-21,Port Glaud,district
SC-25,Roche Caiman,district
SC-22,Saint Louis,district
SC-23,Takamaka,district
