id,name,level
SD-23,A?ali an Nil,state
SD-26,Al Ba?r al A?mar,state
SD-RS,Al Bah¸r al Ah¸mar,state
SD-18,Al Bu?ayrat,state
SD-07,Jazira,state
SD-GZ,Jazira,state
SD-KH,Khartoum,state
SD-03,Khartoum,state
SD-06,Al Qa?arif,state
SD-GD,Al Qadarif,state
SD-22,Al Wa?dah,state
SD-04,An Nil,state
SD-NR,An Nil,state
SD-NB,Blue Nile,state
SD-24,Blue Nile,state
SD-NW,White Nile,state
SD-08,White Nile,state
SD-01,Ash Shamaliyah,state
SD-NO,Ash Shamaliyah,state
SD-17,Bahr al Jabal,state
SD-16,Western Equatoria,state
SD-14,Gharb Ba?r al Ghazal,state
SD-DW,West Darfur,state
SD-12,West Darfur,state
SD-10,West Kurdufan,
SD-11,South Darfur,state
SD-DS,South Darfur,state
SD-KS,South Kordofan,state
SD-13,South Kordofan,state
SD-20,Jonglei,state
SD-KA,Kassala,state
SD-05,Kassala,state
SD-15,Shamal Ba?r al Ghazal,state
SD-DN,North Darfur,state
SD-02,North Darfur,state
SD-09,North Kurdufan,state
SD-KN,North Kurdufan,state
SD-19,Eastern Equatoria,state
SD-DE,East Darfur,
SD-25,Sinnar,state
SD-SI,Sinnar,state
SD-21,Warrap,state
SD-DC,Zalingei,
