id,name,level
SI-001,Ajdovšcina,
SI-195,Apače,commune
SI-002,Beltinci,
SI-148,Benedikt,
SI-149,Bistrica ob Sotli,
SI-003,Bled,
SI-150,Bloke,
SI-004,Bohinj,
SI-005,Borovnica,
SI-006,Bovec,
SI-151,Braslovče,
SI-007,Brda,
SI-008,Brezovica,
SI-009,Brežice,
SI-152,Cankova,
SI-011,Celje,
SI-012,Cerklje na Gorenjskem,
SI-013,Cerknica,
SI-014,Cerkno,
SI-153,Cerkvenjak,
SI-197,Cirkulane,commune
SI-015,Crenšovci,
SI-016,Crna na Koroškem,
SI-017,Črnomelj,
SI-018,Destrnik,
SI-019,Divača,
SI-154,Dobje,
SI-020,Municipality of Dobrepolje,
SI-155,Dobrna,
SI-021,Municipality of Dobrova–Polhov Gradec,
SI-156,Dobrovnik/Dobronak,
SI-022,Dol pri Ljubljani,
SI-157,Dolenjske Toplice,
SI-023,Domžale,
SI-024,Dornava,
SI-025,Dravograd,
SI-026,Duplek,
SI-027,Municipality of Gorenja Vas–Poljane,
SI-028,Gorišnica,
SI-207,Gorje,commune
SI-029,Gornja Radgona,
SI-030,Gornji Grad,
SI-031,Gornji Petrovci,
SI-158,Grad,
SI-032,Grosuplje,
SI-159,Hajdina,
SI-160,Municipality of Hoče–Slivnica,
SI-161,Hodoš/Hodos,
SI-162,Municipality of Horjul,
SI-034,Hrastnik,
SI-035,Municipality of Hrpelje–Kozina,
SI-036,Idrija,
SI-037,IG,
SI-038,Ilirska Bistrica,
SI-039,Ivančna Gorica,
SI-040,Izola,
SI-041,Jesenice,
SI-163,Jezersko,
SI-042,Juršinci,
SI-043,Kamnik,
SI-044,Kanal,
SI-045,Kidričevo,
SI-046,Kobarid,
SI-047,Kobilje,
SI-048,Kočevje,
SI-049,Komen,
SI-164,Komenda,
SI-050,Koper,
SI-196,Kosanjevica na Krki,commune
SI-165,Kostel,
SI-051,Kozje,
SI-052,Kranj,
SI-053,Kranjska Gora,
SI-166,Križevci,
SI-054,Krško,
SI-055,Kungota,
SI-056,Kuzma,
SI-057,Laško,
SI-058,Municipality of Lenart,
SI-059,Lendava/Lendva,
SI-060,Litija,
SI-061,Ljubljana,
SI-062,Ljubno ob Savinji,
SI-063,Ljutomer,
SI-208,Municipality of Log–Dragomer,commune
SI-064,Logatec,
SI-167,Lovrenc na Pohorju,
SI-065,Municipality of Loška Dolina,
SI-066,Municipality of Loški Potok,
SI-067,Luce,
SI-068,Lukovica,
SI-069,Majšperk,
SI-198,Makole,commune
SI-070,Maribor,
SI-168,Markovci,
SI-071,Medvode,
SI-072,Mengeš,
SI-073,Metlika,
SI-074,Mežica,
SI-169,Miklavž na Dravskem Polju,
SI-075,Municipality of Miren–Kostanjevica,
SI-170,Mirna Peč,
SI-076,Mislinja,
SI-199,Municipality of Mokronog–Trebelno,commune
SI-077,Moravče,
SI-078,Moravske Toplice,
SI-079,Mozirje,
SI-080,Murska Sobota,
SI-081,Muta,
SI-082,Naklo,
SI-083,Nazarje,
SI-084,Nova Gorica,
SI-085,Novo Mesto,
SI-086,Odranci,
SI-171,Oplotnica,
SI-087,Ormož,
SI-088,Osilnica,
SI-089,Pesnica,
SI-090,Piran,
SI-091,Pivka,
SI-092,Podčetrtek,
SI-172,Podlehnik,
SI-093,Podvelka,
SI-200,Poljčane,commune
SI-173,Polzela,
SI-094,Postojna,
SI-174,Prebold,
SI-095,Preddvor,
SI-175,Prevalje,
SI-096,Ptuj,
SI-097,Puconci,
SI-098,Municipality of Rače–Fram,
SI-099,Radeče,
SI-100,Radenci,
SI-101,Radlje ob Dravi,
SI-102,Radovljica,
SI-103,Ravne na Koroškem,
SI-176,Razkrižje,
SI-201,Municipality of Renče–Vogrsko,commune
SI-209,Rečica ob Savinji,commune
SI-104,Ribnica,
SI-177,Ribnica na Pohorju,
SI-107,Rogatec,
SI-106,Rogaška Slatina,
SI-105,Rogašovci,
SI-108,Ruše,
SI-178,Selnica ob Dravi,
SI-109,Semic,
SI-110,Sevnica,
SI-111,Sežana,
SI-112,Slovenj Gradec,
SI-113,Slovenska Bistrica,
SI-114,Slovenske Konjice,
SI-179,Sodražica,
SI-180,Solčava,
SI-202,Središče ob Dravi,commune
SI-115,Starše,
SI-203,Straža,commune
SI-181,Sveta Ana,
SI-204,Sveta Trojica v Slovenskih Goricah,commune
SI-182,Sveti Andraž v Slovenskih goricah,
SI-116,Sveti Jurij,
SI-210,Sveti Jurij v Slovenskih Goricah,commune
SI-205,Sveti Tomaž,commune
SI-184,Tabor,
SI-010,Tišina,
SI-128,Tolmin,
SI-129,Trbovlje,
SI-130,Trebnje,
SI-185,Trnovska Vas,
SI-186,Trzin,
SI-131,Tržic,
SI-132,Turnišce,
SI-133,Velenje,
SI-187,Velika Polana,
SI-134,Velike Lašce,
SI-188,Veržej,
SI-135,Videm,
SI-136,Vipava,
SI-137,Vitanje,
SI-138,Vodice,
SI-139,Vojnik,
SI-189,Vransko,
SI-140,Vrhnika,
SI-141,Vuzenica,
SI-142,Zagorje ob Savi,
SI-143,Zavrč,
SI-144,Zreče,
SI-033,Šalovci,
SI-183,Municipality of Šempeter–Vrtojba,
SI-117,Šencur,
SI-118,Šentilj,
SI-119,Šentjernej,
SI-120,Šentjur pri Celju,
SI-211,Šentrupert,commune
SI-121,Škocjan,
SI-122,Škofja Loka,
SI-123,Škofljica,
SI-124,Šmarje pri Jelšah,
SI-206,Šmarješke Toplice,commune
SI-125,Šmartno ob Paki,
SI-194,Šmartno pri Litiji,
SI-194,Šmartno pri Litiji,commune
SI-126,Šoštanj,
SI-127,Štore,
SI-190,Žalec,
SI-146,Železniki,
SI-191,Žetale,
SI-147,Žiri,
SI-192,Municipality of Žirovnica,
SI-193,Žužemberk,
