id,name,level
TD-BA,Batha,region
TD-LC,Al Buhayrah,region
TD-BG,Bahr el Ghazal,region
TD-BET,Borkou-Ennedi-Tibesti,region
TD-BO,Borkou,region
TD-EN,Ennedi Plateau,region
TD-KA,Kanem,region
TD-LO,Logone Occidental,region
TD-LR,Logone Oriental,region
TD-MA,Mandoul Region,region
TD-MO,Mayo-Kebbi Ouest Region,region
TD-ME,Mayo-Kebbi Est Region,region
TD-GR,Guéra,region
TD-SA,Salamat,region
TD-MC,Moyen-Chari,region
TD-CB,Chari-Baguirmi,region
TD-SI,Śīla,region
TD-TI,Tibesti Mountains,region
TD-TA,Tandjilé,region
TD-OD,Ouaddaï,region
TD-WF,Wadi Fira Region,region
TD-HL,Hadjer-Lamis Region,region
