id,name,level
TN-12,Ariana,governorate
TN-13,Ben Arous,governorate
TN-23,Bizerte,governorate
TN-31,Béja,governorate
TN-81,Gabès,governorate
TN-71,Gafsa,governorate
TN-32,Jendouba,governorate
TN-41,Kairouan,governorate
TN-42,Kasserine,governorate
TN-73,Kebili,governorate
TN-14,Manouba,governorate
TN-33,El Kef,governorate
TN-53,Mahdia,governorate
TN-82,Medenine,governorate
TN-52,Monastir,governorate
TN-21,Nabeul,governorate
TN-61,Sfax,governorate
TN-43,Sidi Bouzid,governorate
TN-34,Siliana,governorate
TN-51,Sousse,governorate
TN-83,Tataouine,governorate
TN-72,Tozeur,governorate
TN-11,Tunis,governorate
TN-22,Zaghouan,governorate
