id,name,level
TR-01,Adana,province
TR-02,Adıyaman,province
TR-03,Afyonkarahisar,province
TR-04,Agri,province
TR-68,Aksaray,province
TR-05,Amasya,province
TR-06,Ankara,province
TR-07,Antalya,province
TR-75,Ardahan,province
TR-08,Artvin,province
TR-09,Aydın,province
TR-10,Balıkesir,province
TR-74,Bartın,province
TR-72,Batman,province
TR-69,Bayburt,province
TR-11,Bilecik,province
TR-12,Bingöl,province
TR-13,Bitlis,province
TR-14,Bolu,province
TR-15,Burdur,province
TR-16,Bursa,province
TR-20,Denizli,province
TR-21,Diyarbakır,province
TR-81,Düzce,province
TR-22,Edirne,province
TR-23,Elâzığ,province
TR-24,Erzincan,province
TR-25,Erzurum,province
TR-26,Eskişehir,province
TR-27,Gaziantep,province
TR-28,Giresun,province
TR-29,Gümüşhane,province
TR-30,Hakkâri,province
TR-31,Hatay,province
TR-76,Iğdır,province
TR-32,Isparta,province
TR-34,Istanbul,province
TR-35,Izmir,province
TR-46,Kahramanmaraş,province
TR-78,Karabük,province
TR-70,Karaman,province
TR-36,Kars,province
TR-37,Kastamonu,province
TR-38,Kayseri,province
TR-79,Kilis,province
TR-71,Kırıkkale,province
TR-39,Kırklareli,province
TR-40,Kırşehir,province
TR-41,Kocaeli,province
TR-42,Konya,province
TR-43,Kütahya,province
TR-44,Malatya,province
TR-45,Manisa,province
TR-47,Mardin,province
TR-33,Mersin,province
TR-48,Muğla,province
TR-49,Mus,province
TR-50,Nevşehir,province
TR-51,Niğde,province
TR-52,Ordu,province
TR-80,Osmaniye,province
TR-53,Rize,province
TR-54,Sakarya,province
TR-55,Samsun,province
TR-63,Şanlıurfa,province
TR-56,Siirt,province
TR-57,Sinop,province
TR-73,Şırnak,province
TR-58,Sivas,province
TR-59,Tekirdağ,province
TR-60,Tokat,province
TR-61,Trabzon,province
TR-62,Tunceli,province
TR-64,Usak,province
TR-65,Van,province
TR-77,Yalova,province
TR-66,Yozgat,province
TR-67,Zonguldak,province
TR-17,Çanakkale,province
TR-18,Çankırı,province
TR-19,Çorum,province
