id,name,level
TT-ARI,Arima,municipality
TT-CHA,Chaguanas,municipality
TT-CTT,Couva-Tabaquite-Talparo Regional Corporation,region
TT-DMN,Diego Martin,region
TT-ETO,Tobago,region
TT-PED,Penal-Debe Regional Corporation,region
TT-PTF,Point Fortin,municipality
TT-POS,Port of Spain,municipality
TT-PRT,Princes Town,region
TT-RCM,Rio Claro-Mayaro Regional Corporation,region
TT-SFO,San Fernando,municipality
TT-SJL,San Juan-Laventille Regional Corporation,region
TT-SGE,Sangre Grande,region
TT-SIP,Siparia,region
TT-TUP,Tunapuna-Piarco Regional Corporation,region
TT-WTO,Tobago,region
