id,name,level
TW-CHA,Changhua City,district
TW-CYQ,Chiayi,district
TW-CYI,Chiayi Municipality,municipality
TW-HSQ,Hsinchu,district
TW-HSZ,Hsinchu Municipality,municipality
TW-HUA,Hualien,district
TW-ILA,Ilan,district
TW-KHQ,Kaohsiung,district
TW-KHH,Kaohsiung Special Municipality,special municipality
TW-KEE,Keelung Municipality,municipality
TW-MIA,Miaoli,district
TW-NAN,Nantou,district
TW-PEN,Penghu,district
TW-PIF,Pingtung City,district
TW-TXQ,Taichung,district
TW-TXG,Taichung Municipality,municipality
TW-TNQ,Tainan,district
TW-TNN,Tainan Municipality,municipality
TW-TPQ,Taipei,district
TW-TPE,Taipei Special Municipality,special municipality
TW-TTT,Taitung,district
TW-TAO,Taoyuan,district
TW-YUN,Yunlin County,district
