id,name,level
UA-71,Cherkasy Oblast,region
UA-74,Chernihiv Oblast,region
UA-77,Chernivtsi Oblast,region
UA-12,Dnipropetrovsk Oblast,region
UA-14,Donetsk Oblast,region
UA-26,Ivano-Frankivsk Oblast,region
UA-63,Kharkiv Oblast,region
UA-65,Kherson Oblast,region
UA-68,Khmelnytskyi Oblast,region
UA-35,Kirovohrad Oblast,region
UA-30,Kiev,region
UA-32,Kiev Oblast,region
UA-46,Lviv Oblast,region
UA-09,Luhansk Oblast,region
UA-48,Mykolaiv Oblast,region
UA-51,Odessa Oblast,region
UA-53,Poltava Oblast,region
UA-43,Crimea,autonomous republic
UA-56,Rivne Oblast,region
UA-40,Sevastopol,region
UA-59,Sumy Oblast,region
UA-61,Ternopil Oblast,region
UA-05,Vinnytsia Oblast,region
UA-07,Volyn Oblast,region
UA-21,Zakarpattia Oblast,region
UA-23,Zaporizhia Oblast,region
UA-18,Zhytomyr Oblast,region
