id,name,level
UG-317,ABIM,district
UG-301,Adjumani,district
UG-314,Amolatar,district
UG-216,Amuria,district
UG-319,Amuru,district
UG-302,Apac,district
UG-303,Arua,district
UG-217,Budaka,district
UG-223,Bududa,district
UG-201,Bugiri,district
UG-224,Bukedea,district
UG-218,Bukwa,district
UG-419,Buliisa,district
UG-401,Bundibugyo,district
UG-402,Bushenyi,district
UG-202,Busia,district
UG-219,Butaleja,district
UG-C,Central,geographic regions
UG-318,Dokolo,district
UG-E,Eastern,geographic regions
UG-304,Gulu,district
UG-403,Hoima,district
UG-416,Ibanda,district
UG-203,Iganga,district
UG-417,Isingiro,district
UG-204,Jinja,district
UG-315,Kaabong,district
UG-404,Kabale,district
UG-405,Kabarole District,district
UG-213,Kaberamaido,district
UG-101,Kalangala,district
UG-220,Kaliro,district
UG-102,Kampala,district
UG-205,Kamuli,district
UG-413,Kamwenge,district
UG-414,Kanungu,district
UG-206,Kapchorwa,district
UG-406,Kasese,district
UG-207,Katakwi,district
UG-112,Kayunga,district
UG-407,Kibaale,district
UG-103,Kiboga,district
UG-418,Kiruhura,district
UG-408,Kisoro,district
UG-305,Kitgum,district
UG-316,Koboko,district
UG-306,Kotido,district
UG-208,Kumi,district
UG-415,Kyenjojo,district
UG-307,Lira,district
UG-104,Luweero,district
UG-116,Lyantonde,district
UG-221,Manafwa,district
UG-320,Lugbara people,district
UG-105,Masaka,district
UG-409,Masindi,district
UG-214,Mayuge,district
UG-209,Mbale,district
UG-410,Mbarara,district
UG-114,Mityana,district
UG-308,Moroto,district
UG-309,Moyo,district
UG-106,Mpigi,district
UG-107,Mubende,district
UG-108,Mukono Town,district
UG-311,Nakapiripirit,district
UG-115,Nakaseke,district
UG-109,Nakasongola,district
UG-222,Namutumba,district
UG-310,Nebbi,district
UG-N,Northern,geographic regions
UG-411,Ntungamo,district
UG-321,Oyam,district
UG-312,Pader,district
UG-210,Pallisa,district
UG-110,Rakai,district
UG-412,Rukungiri,district
UG-111,Sembabule,district
UG-215,Sironko,district
UG-211,Soroti,district
UG-212,Tororo,district
UG-113,Wakiso Town,district
UG-W,Western,geographic regions
UG-313,Yumbe,district
