id,name,level
VE-Z,Amazonas,state
VE-B,Anzoátegui,state
VE-C,Apure,state
VE-D,Aragua,state
VE-E,Barinas,state
VE-F,Simón Bolívar,state
VE-G,Carabobo,state
VE-H,Cojedes,state
VE-Y,Delta Amacuro,state
VE-W,Federal Dependencies of Venezuela,federal dependency
VE-A,Distrito Federal,federal district
VE-I,Falcón,state
VE-J,Guárico,state
VE-K,Lara,state
VE-M,Miranda,state
VE-N,Monagas,state
VE-L,Mérida,state
VE-O,Nueva Esparta,state
VE-P,Portuguesa,state
VE-R,Sucre,state
VE-T,Trujillo,state
VE-S,Táchira,state
VE-X,Vargas,state
VE-U,Yaracuy,state
VE-V,Zulia,state
