id,name,level
VN-44,An Giang province,province
VN-43,Ba Ria–Vung Tau province,province
VN-53,Bac Kan,province
VN-54,Bac Giang,province
VN-55,Bac Lieu,province
VN-56,Bac Ninh,province
VN-50,Ben Tre,province
VN-31,Binh Dinh province,province
VN-57,Binh Duong province,province
VN-58,Binh Phuoc province,province
VN-40,Binh Thuan province,province
VN-59,Ca Mau,province
VN-CT,Cần Thơ,municipality
VN-48,Cần Thơ,province
VN-04,Cao Bang,province
VN-DN,Da Nang,municipality
VN-60,Da Nang,province
VN-33,Dak Lak province,province
VN-72,Dak Nong province,province
VN-71,Dien Bien province,province
VN-39,Dong Nai,province
VN-45,Dong Thap province,province
VN-30,Gia Lai province,province
VN-03,Ha Giang,province
VN-63,Ha Nam province,province
VN-HN,Hanoi,municipality
VN-64,Ha Noi,province
VN-15,Ha Tay province,province
VN-23,Ha Tinh,province
VN-61,Hai Duong,province
VN-HP,Hai Phong,municipality
VN-62,Hai Phong,province
VN-73,Hau Giang province,province
VN-SG,Ho Chi Minh,municipality
VN-65,Ho Chi Minh,province
VN-14,Hoa Binh,province
VN-66,Hung Yen,province
VN-34,Khanh Hoa province,province
VN-47,Kien Giang province,province
VN-28,Kon Tum,province
VN-01,Lai Chau,province
VN-35,Lam Dong province,province
VN-09,Lang Son,province
VN-02,Lao Cai,province
VN-41,Long An province,province
VN-67,Nam Dinh,province
VN-22,Nghe An province,province
VN-18,Ninh Binh,province
VN-36,Ninh Thuan province,province
VN-68,Phu Tho,province
VN-32,Phu Yen province,province
VN-24,Quang Binh province,province
VN-27,Quang Nam province,province
VN-29,Quang Ngai,province
VN-13,Quang Ninh province,province
VN-25,Quang Tri,province
VN-52,Soc Trang,province
VN-05,Son La,province
VN-37,Tay Ninh,province
VN-20,Thai Binh,province
VN-69,Thái Nguyên,province
VN-21,Thanh Hóa,province
VN-26,Thua Thien – Hue province,province
VN-46,Tien Giang province,province
VN-51,Tra Vinh,province
VN-07,Tuyen Quang,province
VN-49,Vinh Long,province
VN-70,Vinh Phuc province,province
VN-06,Yen Bai,province
