id,name,level
YE-AM,`Amran,governorate
YE-AB,Abyan Governorate,governorate
YE-DA,Ad Dāli‘,governorate
YE-HU,Al ?udaydah,governorate
YE-JA,Al Jawf,governorate
YE-MR,Al Mahrah Governorate,governorate
YE-MW,Al Mahwit,governorate
YE-DH,Dhamar,governorate
YE-HD,Hadhramaut,governorate
YE-HJ,Hajjah,governorate
YE-IB,Ibb,governorate
YE-LA,La?ij,governorate
YE-RA,Raymah,governorate
YE-SN,Sanʿā,governorate
YE-SH,Shabwah Governorate,governorate
YE-TA,Taʿizz,governorate
YE-SA,Şan‘ā,municipality
YE-AD,ʿAdan,governorate
