Beyla (GN-BE)
Boffa (GN-BF)
Boké (GN-B)
Boké (GN-BK)
Conakry (GN-C)
Coyah (GN-CO)
Dabola (GN-DB)
Dalaba (GN-DL)
Dinguiraye (GN-DI)
Dubréka (GN-DU)
Faranah (GN-FA)
faranah (GN-F)
Forécariah (GN-FO)
Fria (GN-FR)
Gaoual (GN-GA)
Guéckédougou (GN-GU)
Kankan (GN-K)
Kankan (GN-KA)
Kindia (GN-KD)
Kindia (GN-D)
Kissidougou (GN-KS)
Koubia (GN-KB)
Koundara (GN-KN)
Kouroussa (GN-KO)
Kérouané (GN-KE)
Labé (GN-L)
Labé (GN-LA)
Lola (GN-LO)
Lélouma (GN-LE)
Macenta (GN-MC)
Mali (GN-ML)
Mamou (GN-MM)
Mamou (GN-M)
Mandiana (GN-MD)
Nzérékoré (GN-N)
Nzérékoré (GN-NZ)
Pita (GN-PI)
Siguiri (GN-SI)
Tougué (GN-TO)
Télimélé (GN-TE)
Yomou (GN-YO)
