Anenii Noi (MD-AN)
Basarabeasca (MD-BS)
Briceni (MD-BR)
Bălți (MD-BA)
Cahul (MD-CA)
Cantemir (MD-CT)
Chișinău (MD-CU)
Chisinau City (MD-CH)
Cimişlia (MD-CM)
Criuleni (MD-CR)
Călărași (MD-CL)
Căuşeni (MD-CS)
Donduşeni (MD-DO)
Drochia (MD-DR)
Dubăsari (MD-DU)
Edineț (MD-ED)
Florești (MD-FL)
Făleşti (MD-FA)
Gagauzia (MD-GA)
Glodeni (MD-GL)
Hîncești (MD-HI)
Ialoveni (MD-IA)
Leova (MD-LE)
Lăpuşina (MD-LA)
Nisporeni (MD-NI)
Ocniţa (MD-OC)
Orhei (MD-OR)
Rezina (MD-RE)
Rîșcani (MD-RI)
Soroca (MD-SO)
Străşeni (MD-ST)
Stînga Nistrului (MD-SN)
Sîngerei (MD-SI)
Taraclia (MD-TA)
Teleneşti (MD-TE)
Bender (MD-BD)
Bender (MD-TI)
Ungheni (MD-UN)
Şoldăneşti (MD-SD)
Ștefan Vodă (MD-SV)
