id,name,level
CH-AG,Cantón de Argovia,canton
CH-AR,Cantón de Appenzell Rodas Exteriores,canton
CH-AI,Cantón de Appenzell Rodas Interiores,canton
CH-BL,Cantón de Basilea-Campiña,canton
CH-BS,Cantón de Basilea-Ciudad,canton
CH-BE,Berna,canton
CH-FR,Friburgo,canton
CH-GL,Glaris,canton
CH-GR,Cantón de los Grisones,canton
CH-JU,Jura,canton
CH-NE,Neuchâtel,canton
CH-NW,Cantón de Nidwalden,canton
CH-OW,Cantón de Obwalden,canton
CH-SH,Schaffhausen,canton
CH-SZ,Schwyz,canton
CH-SO,Soleura,canton
CH-TG,Cantón de Turgovia,canton
CH-TI,Cantón del Tesino,canton
CH-UR,Uri,canton
CH-VS,Cantón del Valais,canton
CH-VD,Cantón de Vaud,canton
CH-ZG,Zug,canton
CH-GE,Ginebra,canton
CH-LU,Lucerna,canton
CH-ZH,Zúrich,canton
