id,name,level
FR-01,Ain,metropolitan department
FR-02,Aisne,metropolitan department
FR-03,Allier,metropolitan department
FR-06,Alpes-Marítimos,metropolitan department
FR-04,Alpes de Alta Provenza,metropolitan department
FR-A,Alsacia,metropolitan regions
FR-B,Aquitania,metropolitan regions
FR-08,Ardenas,metropolitan department
FR-07,Ardèche,metropolitan department
FR-09,Ariège,metropolitan department
FR-10,Aube,metropolitan department
FR-11,Aude,metropolitan department
FR-12,Aveyron,metropolitan department
FR-67,Departamento del Bajo Rin,metropolitan department
FR-13,Bocas del Ródano,metropolitan department
FR-E,Bretaña,metropolitan regions
FR-D,Borgoña,metropolitan regions
FR-14,Calvados,metropolitan department
FR-15,Cantal,metropolitan department
FR-G,Champaña-Ardenas,metropolitan regions
FR-16,Charente,metropolitan department
FR-17,Charente Marítimo,metropolitan department
FR-18,Cher,metropolitan department
FR-CP,Isla Clipperton,dependency
FR-19,Corrèze,metropolitan department
FR-2A,Córcega del Sur,metropolitan department
FR-H,Córcega,metropolitan regions
FR-23,Creuse,metropolitan department
FR-79,Deux-Sèvres,metropolitan department
FR-24,Dordoña,metropolitan department
FR-25,Doubs,metropolitan department
FR-26,Drôme,metropolitan department
FR-91,Essonne,metropolitan department
FR-27,Eure,metropolitan department
FR-28,Eure y Loir,metropolitan department
FR-29,Finisterre,metropolitan department
FR-I,Franco Condado,metropolitan regions
FR-30,Gard,metropolitan department
FR-32,Gers,metropolitan department
FR-33,Gironda,metropolitan department
FR-GP,Guadalupe,overseas regions
FR-68,Alto Rin,metropolitan department
FR-2B,Alta Córcega,metropolitan department
FR-31,Alto Garona,metropolitan department
FR-P,Baja Normandía,metropolitan regions
FR-GF,Guayana Francesa,overseas regions
FR-43,Alto Loira,metropolitan department
FR-52,Alto Marne,metropolitan department
FR-74,Alta Saboya,metropolitan department
FR-70,Alto Saona,metropolitan department
FR-87,Alto Vienne,metropolitan department
FR-05,Altos Alpes,metropolitan department
FR-65,Altos Pirineos,metropolitan department
FR-92,Altos del Sena,metropolitan department
FR-34,Hérault,metropolitan department
FR-35,Ille y Vilaine,metropolitan department
FR-36,Indre,metropolitan department
FR-37,Indre y Loira,metropolitan department
FR-38,Isère,metropolitan department
FR-39,Jura,metropolitan department
FR-K,Languedoc-Rosellón,metropolitan regions
FR-41,Loir y Cher,metropolitan department
FR-42,Loira,metropolitan department
FR-44,Loira Atlántico,metropolitan department
FR-45,Loiret,metropolitan department
FR-M,Lorraine,metropolitan regions
FR-46,Lot,metropolitan department
FR-47,Lot y Garona,metropolitan department
FR-48,Lozère,metropolitan department
FR-49,Maine y Loira,metropolitan department
FR-50,Mancha,metropolitan department
FR-51,Marne,metropolitan department
FR-MQ,Martinica,overseas regions
FR-53,Mayenne,metropolitan department
FR-YT,Mayotte,territorial collectivity
FR-54,Meurthe y Mosela,metropolitan department
FR-55,Mosa,metropolitan department
FR-N,Mediodía-Pirineos,metropolitan regions
FR-56,Morbihan,metropolitan department
FR-57,Mosela,metropolitan department
FR-58,Nièvre,metropolitan department
FR-O,Norte-Paso de Calais,metropolitan regions
FR-60,Oise,metropolitan department
FR-61,Orne,metropolitan department
FR-75,París,metropolitan department
FR-62,Paso de Calais,metropolitan department
FR-R,Países del Loira,metropolitan regions
FR-S,Picardía,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Alta Normandía,metropolitan regions
FR-PF,Polinesia Francesa,overseas territory
FR-NC,Nueva Caledonia,overseas territory
FR-RE,Reunión,overseas regions
FR-U,Provenza-Alpes-Costa Azul,metropolitan regions
FR-63,Puy-de-Dôme,metropolitan department
FR-64,Pirineos Atlánticos,metropolitan department
FR-66,Pirineos Orientales,metropolitan department
FR-69,Ródano,metropolitan department
FR-V,Ródano-Alpes,metropolitan regions
FR-72,Sarthe,metropolitan department
FR-73,Saboya,metropolitan department
FR-71,Saona y Loira,metropolitan department
FR-76,Sena Marítimo,metropolitan department
FR-93,Sena-Saint Denis,metropolitan department
FR-77,Sena y Marne,metropolitan department
FR-80,Somme,metropolitan department
FR-81,Tarn,metropolitan department
FR-82,Tarn y Garona,metropolitan department
FR-90,Territorio de Belfort,metropolitan department
FR-95,Valle del Oise,metropolitan department
FR-94,Valle del Marne,metropolitan department
FR-84,Vaucluse,metropolitan department
FR-85,Vandea,metropolitan department
FR-86,Vienne,metropolitan department
FR-88,Vosgos,metropolitan department
FR-89,Yonne,metropolitan department
FR-78,Yvelines,metropolitan department
FR-MF,San Martín,overseas territorial collectivity
FR-BL,San Bartolomé,overseas territorial collectivity
FR-PM,San Pedro y Miquelón,territorial collectivity
FR-WF,Wallis y Futuna,overseas territory
