id,name,level
GB-ABE,Aberdeen,council area (scotland)
GB-ABD,Aberdeenshire,council area (scotland)
GB-ANS,Angus,council area (scotland)
GB-AGB,Argyll and Bute,council area (scotland)
GB-BLA,Ballymena,district council area (northern ireland)
GB-BLY,Ballymoney,district council area (northern ireland)
GB-BNB,Banbridge,district council area (northern ireland)
GB-BNS,Barnsley,metropolitan district
GB-BAS,Bath and North East Somerset,unitary authority
GB-BDF,Bedfordshire,unitary authority
GB-BFS,Belfast,district council area (northern ireland)
GB-BIR,Birmingham,metropolitan district
GB-BPL,Blackpool,unitary authority
GB-BGW,Blaenau Gwent,unitary authority (wales)
GB-BOL,Bolton,metropolitan district
GB-BMH,Bournemouth,unitary authority
GB-BRD,Bradford,metropolitan district
GB-BGE,Bridgend,unitary authority (wales)
GB-BNH,Brighton,unitary authority
GB-BST,Bristol,unitary authority
GB-BKM,Buckinghamshire,two-tier county
GB-BUR,Bury,metropolitan district
GB-CLD,Calderdale,metropolitan district
GB-CAM,Cambridgeshire,two-tier county
GB-CMD,Camden,borough
GB-CRF,Cardiff,unitary authority (wales)
GB-CMN,Carmarthenshire,unitary authority (wales)
GB-CGN,Ceredigion,unitary authority (wales)
GB-CHS,Cheshire,
GB-CLK,Clackmannanshire,council area (scotland)
GB-CON,Cornualles,unitary authority
GB-COV,Coventry,metropolitan district
GB-BDG,Barking y Dagenham,borough
GB-FER,Condado de Fermanagh,district council area (northern ireland)
GB-CMA,Cumbria,two-tier county
GB-DAL,Darlington,unitary authority
GB-DEN,Denbighshire,unitary authority (wales)
GB-DER,Derby,unitary authority
GB-DBY,Derbyshire,two-tier county
GB-DRY,Derry,district council area (northern ireland)
GB-DEV,Devon,two-tier county
GB-DNC,Doncaster,metropolitan district
GB-DOR,Dorset,two-tier county
GB-DOW,Down,district council area (northern ireland)
GB-DUD,Dudley,metropolitan district
GB-DGY,Dumfries and Galloway,council area (scotland)
GB-DND,Dundee,council area (scotland)
GB-DUR,Durham,unitary authority
GB-EAY,East Ayrshire,council area (scotland)
GB-EDU,East Dunbartonshire,council area (scotland)
GB-ELN,East Lothian,council area (scotland)
GB-ERW,East Renfrewshire,council area (scotland)
GB-ERY,Yorkshire del Este,unitary authority
GB-ESX,Sussex Oriental,two-tier county
GB-EDH,Edimburgo,council area (scotland)
GB-ENF,Enfield,borough
GB-ESS,Essex,two-tier county
GB-FAL,Falkirk,council area (scotland)
GB-FIF,Fife,council area (scotland)
GB-FLN,Flintshire,unitary authority (wales)
GB-GAT,Gateshead,metropolitan district
GB-GLG,Glasgow,council area (scotland)
GB-GLS,Gloucestershire,two-tier county
GB-GRE,Barrio de Greenwich,borough
GB-GWN,Gwynedd,unitary authority (wales)
GB-HAM,Hampshire,two-tier county
GB-HRW,Harrow,borough
GB-HPL,Hartlepool,unitary authority
GB-HEF,Herefordshire,unitary authority
GB-HRT,Hertfordshire,two-tier county
GB-IVC,Inverclyde,council area (scotland)
GB-HMF,Hammersmith y Fulham,borough
GB-HAV,Havering,borough
GB-ELS,Hébridas Exteriores,council area (scotland)
GB-AGY,Anglesey,unitary authority (wales)
GB-LND,City de Londres,city corporation
GB-IOW,Isla de Wight,unitary authority
GB-IOS,Islas Sorlingas,
GB-KEN,Kent,two-tier county
GB-KHL,Kingston upon Hull,unitary authority
GB-KIR,Kirklees,metropolitan district
GB-LBH,Lambeth,borough
GB-LAN,Lancashire,two-tier county
GB-LRN,Larne,district council area (northern ireland)
GB-LDS,Leeds,metropolitan district
GB-LCE,Leicester,unitary authority
GB-LEC,Leicestershire,two-tier county
GB-LIN,Lincolnshire,two-tier county
GB-LSB,Lisburn,district council area (northern ireland)
GB-LIV,Liverpool,metropolitan district
GB-NWM,Newham,borough
GB-LUT,Luton,unitary authority
GB-MAN,Mánchester,metropolitan district
GB-MDW,Medway,unitary authority
GB-MTY,Merthyr Tydfil,unitary authority (wales)
GB-MRT,Merton,borough
GB-MDB,Middlesbrough,unitary authority
GB-MLN,Midlothian,council area (scotland)
GB-MIK,Milton Keynes,unitary authority
GB-MON,Monmouthshire,unitary authority (wales)
GB-MRY,Moray,council area (scotland)
GB-NTL,Neath-Port Talbot,unitary authority (wales)
GB-NET,Newcastle upon Tyne,metropolitan district
GB-NWP,Newport,unitary authority (wales)
GB-NFK,Norfolk,two-tier county
GB-NAY,North Ayrshire,council area (scotland)
GB-NEL,North East Lincolnshire,unitary authority
GB-NLK,North Lanarkshire,council area (scotland)
GB-NLN,North Lincolnshire,unitary authority
GB-NSM,North Somerset,unitary authority
GB-NTY,North Tyneside,metropolitan district
GB-NYK,Yorkshire del Norte,two-tier county
GB-NTH,Northamptonshire,two-tier county
GB-NBL,Northumberland,unitary authority
GB-RIC,Richmond upon Thames,borough
GB-NGM,Nottingham,unitary authority
GB-NTT,Nottinghamshire,two-tier county
GB-OLD,Oldham,metropolitan district
GB-OMH,Omagh,district council area (northern ireland)
GB-ORK,Orcadas,council area (scotland)
GB-OXF,Oxfordshire,two-tier county
GB-PEM,Pembrokeshire,unitary authority (wales)
GB-PKN,Perth and Kinross,council area (scotland)
GB-PTE,Peterborough,unitary authority
GB-PLY,Plymouth,unitary authority
GB-POL,Poole,unitary authority
GB-POR,Portsmouth,unitary authority
GB-POW,Powys,unitary authority (wales)
GB-RDG,Reading,unitary authority
GB-RFW,Renfrewshire,council area (scotland)
GB-RCT,Rhondda,unitary authority (wales)
GB-RCH,Rochdale,metropolitan district
GB-ROT,Rotherham,metropolitan district
GB-RUT,Rutland,unitary authority
GB-SCB,Scottish Borders,council area (scotland)
GB-SHF,Sheffield,metropolitan district
GB-ZET,Islas Shetland,council area (scotland)
GB-SHR,Shropshire,unitary authority
GB-SLG,Slough,unitary authority
GB-SOM,Somerset,two-tier county
GB-SAY,South Ayrshire,council area (scotland)
GB-SGC,South Gloucestershire,unitary authority
GB-SLK,South Lanarkshire,council area (scotland)
GB-STH,Southampton,unitary authority
GB-SOS,Southend-on-Sea,unitary authority
GB-SWK,Southwark,borough
GB-SHN,Saint Helens,metropolitan district
GB-STS,Staffordshire,two-tier county
GB-STG,Stirling,council area (scotland)
GB-SKP,Stockport,metropolitan district
GB-STE,Stoke-on-Trent,unitary authority
GB-SFK,Suffolk,two-tier county
GB-SRY,Surrey,two-tier county
GB-STN,Sutton,borough
ENG,Inglaterra,country
GB-TWH,Tower Hamlets,borough
GB-WFT,Waltham Forest,borough
NIR,Irlanda del Norte,country
SCT,Escocia,country
GB-SWA,Swansea,unitary authority (wales)
GB-SWD,Swindon,unitary authority
GB-TFW,Telford & Wrekin,unitary authority
GB-TOF,Torfaen,unitary authority (wales)
GB-VGL,Vale of Glamorgan,unitary authority (wales)
GB-WKF,Wakefield,metropolitan district
WLS,Gales,country
GB-WLL,Walsall,metropolitan district
GB-WRT,Warrington,unitary authority
GB-WAR,Warwickshire,two-tier county
GB-WDU,West Dunbartonshire,council area (scotland)
GB-WLN,West Lothian,council area (scotland)
GB-WSX,Sussex Occidental,two-tier county
GB-WGN,Wigan,metropolitan district
GB-WIL,Wiltshire,unitary authority
GB-WLV,Wolverhampton,metropolitan district
GB-WOR,Worcestershire,two-tier county
GB-WRX,Wrexham,unitary authority (wales)
GB-YOR,York,unitary authority
