id,name,level
IN-AN,Islas Andamán y Nicobar,union territory
IN-AP,Andhra Pradesh,state
IN-AR,Arunachal Pradesh,state
IN-AS,Assam,state
IN-BR,Bihar,state
IN-CH,Chandigarh,union territory
IN-CT,Chhattisgarh,state
IN-DN,Dadra y Nagar Haveli,union territory
IN-DD,Damán y Diu,union territory
IN-DL,Delhi,union territory
IN-GA,Goa,state
IN-GJ,Guyarat,state
IN-HR,Haryana,state
IN-HP,Himachal Pradesh,state
IN-JK,Jammu y Cachemira,state
IN-JH,Jharkhand,state
IN-KA,Karnataka,state
IN-KL,Kerala,state
IN-LD,Laquedivas,union territory
IN-MP,Madhya Pradesh,state
IN-MH,Maharastra,state
IN-MN,Manipur,state
IN-ML,Megalaya,state
IN-MZ,Mizorán,state
IN-NL,Nagaland,state
IN-OR,Orissa,state
IN-PY,Puducherry,union territory
IN-RJ,Rajastán,state
IN-SK,Sikkim,state
IN-TN,Tamil Nadu,state
IN-TR,Tripura,state
IN-UP,Uttar Pradesh,state
IN-UT,Uttarakhand,state
IN-WB,Bengala Occidental,state
