id,name,level
PL-WP,Voivodato de Gran Polonia,voivodship
PL-KP,Voivodato de Cuyavia y Pomerania,voivodship
PL-MA,Voivodato de Pequeña Polonia,voivodship
PL-DS,Voivodato de Baja Silesia,voivodship
PL-LU,Voivodato de Lublin,voivodship
PL-LB,Voivodato de Lubusz,voivodship
PL-MZ,Voivodato de Mazovia,voivodship
PL-OP,Voivodato de Opole,voivodship
PL-PK,Voivodato de Subcarpacia,voivodship
PL-PD,Voivodato de Podlaquia,voivodship
PL-PM,Voivodato de Pomerania,voivodship
PL-SL,Voivodato de Silesia,voivodship
PL-WN,Voivodato de Varmia y Masuria,voivodship
PL-ZP,Voivodato de Pomerania Occidental,voivodship
PL-SK,Voivodato de Santa Cruz,voivodship
