id,name,level
RS-00,Belgrado,city
RS-14,Distrito de Bor,district
RS-11,Distrito de Braničevo,district
RS-02,Distrito de Banato Central,district
RS-23,Distrito de Jablanica,district
RS-09,Distrito de Kolubara,district
RS-08,Distrito de Mačva,district
RS-17,Distrito de Moravica,district
RS-20,Distrito de Nišava,district
RS-03,Distrito de Banato del Norte,district
RS-01,Distrito de Bačka del Norte,district
RS-10,Distrito de Podunavlje,district
RS-13,Distrito de Pomoravlje,district
RS-24,Distrito de Pčinja,district
RS-19,Distrito de Rasina,district
RS-04,Distrito de Banato del Sur,district
RS-07,Distrito de Sirmia,district
RS-16,Distrito de Zlatibor,district
RS-12,Distrito de Šumadija,district
RS-28,Distrito de Mitrovica,district
RS-26,Distrito de Peć,district
RS-27,Distrito de Prizren,district
