id,name,level
SE-K,Provincia de Blekinge,county
SE-W,Provincia de Dalarna,county
SE-I,Provincia de Gotland,county
SE-X,Provincia de Gävleborg,county
SE-N,Provincia de Halland,county
SE-Z,Provincia de Jämtland,county
SE-F,Provincia de Jönköping,county
SE-H,Provincia de Kalmar,county
SE-G,Provincia de Kronoberg,county
SE-BD,Provincia de Norrbotten,county
SE-M,Provincia de Escania,county
SE-AB,Provincia de Estocolmo,county
SE-D,Provincia de Södermanland,county
SE-C,Provincia de Uppsala,county
SE-AC,Provincia de Västerbotten,county
SE-Y,Provincia de Västernorrland,county
SE-U,Provincia de Västmanland,county
SE-O,Provincia de Västra Götaland,county
SE-T,Provincia de Örebro,county
SE-E,Provincia de Östergötland,county
