id,name,level
UA-71,Óblast de Cherkasy,region
UA-74,Óblast de Chernihiv,region
UA-77,Óblast de Chernivtsi,region
UA-43,Crimea,autonomous republic
UA-12,Óblast de Dnipropetrovsk,region
UA-14,Óblast de Donetsk,region
UA-26,Óblast de Ivano-Frankivsk,region
UA-63,Óblast de Járkov,region
UA-65,Óblast de Jersón,region
UA-68,Óblast de Jmelnitski,region
UA-30,Kiev,region
UA-32,Óblast de Kiev,region
UA-35,Óblast de Kirovogrado,region
UA-09,Óblast de Lugansk,region
UA-46,Óblast de Leópolis,region
UA-48,Óblast de Mykolaiv,region
UA-51,Óblast de Odesa,region
UA-53,Óblast de Poltava,region
UA-56,Óblast de Rivne,region
UA-40,Sebastopol,region
UA-59,Óblast de Sumy,region
UA-61,Óblast de Ternópil,region
UA-05,Óblast de Vinnytsia,region
UA-07,Óblast de Volyn,region
UA-21,Óblast de Zakarpatia,region
UA-23,Óblast de Zaporiyia,region
UA-18,Óblast de Zhytomyr,region
