Arad (RO-AR)
Bacău (RO-BC)
Bistrița-Năsăud (RO-BN)
Botoșani (RO-BT)
Brașov (RO-BV)
Brăila (RO-BR)
Bucarest (RO-B)
Buzău (RO-BZ)
Caraș-Severin (RO-CS)
Cluj-Napoca (RO-CJ)
Constanza (RO-CT)
Covasna (RO-CV)
Călărași (RO-CL)
Dolj (RO-DJ)
Dâmboviţa (RO-DB)
Galați (RO-GL)
Giurgiu (RO-GR)
Gorj (RO-GJ)
Harghita (RO-HR)
Hunedoara (RO-HD)
Iași (RO-IS)
Ilfov (RO-IF)
Maramureş (RO-MM)
Mehedinți (RO-MH)
Mureș (RO-MS)
Neamț (RO-NT)
Satu Mare (RO-SM)
Sibiu (RO-SB)
Suceava (RO-SV)
Teleorman (RO-TR)
Tulcea (RO-TL)
Vaslui (RO-VS)
Vâlcea (RO-VL)
