country,id,name,level
AD,AD-07,Andorra la Vella,parish
AT,AT-1,Burgenland,state
AT,AT-3,Alam-Austria,state
AT,AT-5,Salzburg,state
AT,AT-6,Steiermargi liidumaa,state
AT,AT-4,Ülem-Austria,state
AT,AT-9,Viin,state
AT,AT-8,Vorarlberg,state
BY,BY-HM,Minsk,city
BE,BE-VAN,Antwerpen,province
BE,BE-BRU,Pealinna Brüsseli piirkond,capital region
BE,BE-VOV,Ida-Flandria,province
BE,BE-VBR,Flaami Brabant,province
BE,BE-VLG,Flandria,region
BE,BE-VLI,Limburg,province
BE,BE-WLG,Liège,province
BE,BE-WLX,Luksemburg,province
BE,BE-WAL,Valloonia,region
BE,BE-WBR,Vallooni Brabant,province
BE,BE-VWV,Lääne-Flandria provints,province
CA,CA-AB,Alberta,province
CA,CA-BC,Briti Columbia,province
CA,CA-MB,Manitoba provints,province
CA,CA-NB,New Brunswick,province
CA,CA-NL,Newfoundland ja Labrador,province
CA,CA-NT,Loodealad,territory
CA,CA-NS,Nova Scotia,province
CA,CA-NU,Nunavut,territory
CA,CA-ON,Ontario,province
CA,CA-PE,Prints Edwardi saar,province
CA,CA-QC,Québec,province
CA,CA-SK,Saskatchewani provints,province
CA,CA-YT,Yukon,territory
CL,CL-AN,Antofagasta,region
CL,CL-AP,Arica y Parinacota,region
CL,CL-AT,Atacama,region
CL,CL-VS,Valparaíso,region
DK,DK-070,Århus,county
DK,DK-040,Bornholm,county
DK,DK-82,Kesk-Jüütimaa,region
DK,DK-015,Kopenhaagen,county
DK,DK-042,Fyn,county
DK,DK-83,Lõuna-Taani piirkond,region
DK,DK-055,Ribe,county
DK,DK-025,Roskilde,county
DK,DK-060,Vejle,county
DK,DK-076,Viborg,county
DK,DK-85,Zeelandi provints,region
EE,EE-37,Harju maakond,county
EE,EE-39,Hiiumaa,county
EE,EE-44,Ida-Viru maakond,county
EE,EE-51,Järva maakond,county
EE,EE-49,Jõgeva maakond,county
EE,EE-59,Lääne-Viru maakond,county
EE,EE-57,Lääne maakond,county
EE,EE-67,Pärnu maakond,county
EE,EE-65,Põlva maakond,county
EE,EE-70,Rapla maakond,county
EE,EE-74,Saaremaa,county
EE,EE-78,Tartu maakond,county
EE,EE-82,Valga maakond,county
EE,EE-84,Viljandi maakond,county
EE,EE-86,Võru maakond,county
FR,FR-01,Aini departemang,metropolitan department
FR,FR-06,Alpes-Maritimes,metropolitan department
FR,FR-A,Alsace,metropolitan regions
FR,FR-B,Akvitaania,metropolitan regions
FR,FR-08,Ardennid,metropolitan department
FR,FR-67,Bas-Rhini departemang,metropolitan department
FR,FR-15,Cantali departemang,metropolitan department
FR,FR-G,Champagne-Ardenne,metropolitan regions
FR,FR-18,Cher,metropolitan department
FR,FR-CP,Clipperton,dependency
FR,FR-2A,Corse du Sud,metropolitan department
FR,FR-H,Korsika,metropolitan regions
FR,FR-28,Eure-et-Loiri departemang,metropolitan department
FR,FR-29,Finistère,metropolitan department
FR,FR-I,Franche-Comté,metropolitan regions
FR,FR-GP,Guadeloupe,overseas regions
FR,FR-68,Haut-Rhini departemang,metropolitan department
FR,FR-P,Alam-Normandia,metropolitan regions
FR,FR-GF,Prantsuse Guajaana,overseas regions
FR,FR-74,Haute-Savoie departemang,metropolitan department
FR,FR-87,Haute-Vienne,metropolitan department
FR,FR-05,Hautes-Alpes,metropolitan department
FR,FR-92,Hauts-de-Seine,metropolitan department
FR,FR-34,Hérault,metropolitan department
FR,FR-K,Languedoc-Roussillon,metropolitan regions
FR,FR-41,Loir-et-Cheri departemang,metropolitan department
FR,FR-46,Lot,metropolitan department
FR,FR-MQ,Martinique,overseas regions
FR,FR-YT,Mayotte,territorial collectivity
FR,FR-N,Midi–Pyrénées,metropolitan regions
FR,FR-56,Morbihani departemang,metropolitan department
FR,FR-59,Nord,metropolitan department
FR,FR-O,Nord–Pas-de-Calais,metropolitan regions
FR,FR-75,Pariis,metropolitan department
FR,FR-R,Pays de la Loire,metropolitan regions
FR,FR-S,Picardie,metropolitan regions
FR,FR-T,Poitou-Charentes,metropolitan regions
FR,FR-Q,Ülem-Normandia,metropolitan regions
FR,FR-PF,Prantsuse Polüneesia,overseas territory
FR,FR-NC,Uus-Kaledoonia,overseas territory
FR,FR-RE,Réunion,overseas regions
FR,FR-64,Pyrénées-Atlantiques,metropolitan department
FR,FR-69,Rhône,metropolitan department
FR,FR-V,Rhône-Alpes,metropolitan regions
