id,name,level
ES-C,A Coruña,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andaluusia,
ES-AS,Astuuria,autonomous community
ES-BA,Badajoz,province
ES-IB,Baleaarid,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-S,Kantaabria,province
ES-CM,Castilla–La Mancha,autonomous community
ES-CL,Castilla-León,autonomous community
ES-CT,Kataloonia,autonomous community
ES-CE,Ceuta,autonomous city
ES-CO,Córdoba,province
ES-EX,Extremadura,autonomous community
ES-SS,Gipuzkoa,province
ES-GI,Girona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,Leon,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SE,Sevilla,province
ES-TO,Toledo,province
ES-V,Valencia,province
ES-VC,Valencia autonoomne piirkond,autonomous community
ES-VA,Valladolid,province
ES-Z,Zaragoza,province
ES-VI,Araba,province
