id,name,level
FR-01,Aini departemang,metropolitan department
FR-06,Alpes-Maritimes,metropolitan department
FR-A,Alsace,metropolitan regions
FR-B,Akvitaania,metropolitan regions
FR-08,Ardennid,metropolitan department
FR-67,Bas-Rhini departemang,metropolitan department
FR-15,Cantali departemang,metropolitan department
FR-G,Champagne-Ardenne,metropolitan regions
FR-18,Cher,metropolitan department
FR-CP,Clipperton,dependency
FR-2A,Corse du Sud,metropolitan department
FR-H,Korsika,metropolitan regions
FR-28,Eure-et-Loiri departemang,metropolitan department
FR-29,Finistère,metropolitan department
FR-I,Franche-Comté,metropolitan regions
FR-GP,Guadeloupe,overseas regions
FR-68,Haut-Rhini departemang,metropolitan department
FR-P,Alam-Normandia,metropolitan regions
FR-GF,Prantsuse Guajaana,overseas regions
FR-74,Haute-Savoie departemang,metropolitan department
FR-87,Haute-Vienne,metropolitan department
FR-05,Hautes-Alpes,metropolitan department
FR-92,Hauts-de-Seine,metropolitan department
FR-34,Hérault,metropolitan department
FR-K,Languedoc-Roussillon,metropolitan regions
FR-41,Loir-et-Cheri departemang,metropolitan department
FR-46,Lot,metropolitan department
FR-MQ,Martinique,overseas regions
FR-YT,Mayotte,territorial collectivity
FR-N,Midi–Pyrénées,metropolitan regions
FR-56,Morbihani departemang,metropolitan department
FR-59,Nord,metropolitan department
FR-O,Nord–Pas-de-Calais,metropolitan regions
FR-75,Pariis,metropolitan department
FR-R,Pays de la Loire,metropolitan regions
FR-S,Picardie,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Ülem-Normandia,metropolitan regions
FR-PF,Prantsuse Polüneesia,overseas territory
FR-NC,Uus-Kaledoonia,overseas territory
FR-RE,Réunion,overseas regions
FR-64,Pyrénées-Atlantiques,metropolitan department
FR-69,Rhône,metropolitan department
FR-V,Rhône-Alpes,metropolitan regions
FR-73,Savoia departemang,metropolitan department
FR-93,Seine-Saint-Denis,metropolitan department
FR-77,Seine-et-Marne,metropolitan department
FR-81,Tarn,metropolitan department
FR-94,Val-de-Marne,metropolitan department
FR-85,Vendée,metropolitan department
FR-78,Yvelines,metropolitan department
FR-MF,Saint-Martin,overseas territorial collectivity
FR-BL,Saint-Barthélemy,overseas territorial collectivity
FR-PM,Saint-Pierre ja Miquelon,territorial collectivity
FR-WF,Wallis ja Futuna,overseas territory
