id,name,level
IN-AN,Andamanid ja Nicobarid,union territory
IN-AP,Andhra Pradesh,state
IN-AR,Arunāchal Pradesh,state
IN-AS,Assam,state
IN-BR,Bihār,state
IN-CH,Chandīgarh,union territory
IN-CT,Chhattīsgarh,state
IN-DN,Dadra ja Nagar Haveli,union territory
IN-DD,Daman ja Diu,union territory
IN-DL,Delhi,union territory
IN-GA,Goa osariik,state
IN-GJ,Gujarāt,state
IN-HR,Haryana,state
IN-HP,Himachal Pradesh,state
IN-JK,Jammu ja Kashmir,state
IN-JH,Jharkhand,state
IN-KA,Karnataka,state
IN-KL,Kerala,state
IN-LD,Lakshadweep,union territory
IN-MP,Madhya Pradesh,state
IN-MH,Mahārāshtra,state
IN-MN,Manipur,state
IN-ML,Meghālaya,state
IN-MZ,Mizoram,state
IN-NL,Nagaland,state
IN-OR,Orissa,state
IN-PY,Puducherry liiduterritoorium,union territory
IN-RJ,Rājasthān,state
IN-SK,Sikkim,state
IN-TN,Tamil Nadu,state
IN-TR,Tripura,state
IN-UP,Uttar Pradesh,state
IN-UT,Uttarakhand,state
IN-WB,Lääne-Bengali osariik,state
