id,name,level
NL-AW,Aruba,country
NL-BQ1,Bonaire,special municipality
NL-CW,Curaçao,country
NL-DR,Drenthe provints,province
NL-FL,Flevoland,province
NL-FR,Friisimaa provints,province
NL-GE,Gelderlandi provints,province
NL-GR,Groningen,province
NL-LI,Limburg,province
NL-NB,Põhja-Brabant,province
NL-NH,Põhja-Holland,province
NL-OV,Overijsseli provints,province
NL-BQ2,Saba saar,special municipality
NL-BQ3,Sint-Eustatius,special municipality
NL-ZH,Lõuna-Holland,province
NL-UT,Utrecht,province
NL-ZE,Zeelandi provints,province
