id,name,level
PL-WP,Suur-Poola vojevoodkond,voivodship
PL-KP,Kujawy-Pomorze vojevoodkond,voivodship
PL-MA,Väike-Poola vojevoodkond,voivodship
PL-DS,Alam-Sileesia vojevoodkond,voivodship
PL-LU,Lublini vojevoodkond,voivodship
PL-LB,Lubuszi vojevoodkond,voivodship
PL-MZ,Masoovia vojevoodkond,voivodship
PL-OP,Opole vojevoodkond,voivodship
PL-PK,Podkarpacie vojevoodkond,voivodship
PL-PD,Podlaasia vojevoodkond,voivodship
PL-PM,Pomorze vojevoodkond,voivodship
PL-SL,Sileesia vojevoodkond,voivodship
PL-WN,Warmia-Masuuria vojevoodkond,voivodship
PL-ZP,Lääne-Pomorze vojevoodkond,voivodship
PL-SK,Święty Krzyżi vojevoodkond,voivodship
