id,name,level
RO-BN,Bistrița-Năsăudi maakond,county
RO-BT,Botoșani,county
RO-BV,Brașov,county
RO-B,Bukarest,city
RO-CS,Caraș-Severini maakond,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-DJ,Dolji maakond,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Gorji maakond,county
RO-HR,Harghita maakond,county
RO-IS,Iași,county
RO-IF,Ilfovi maakond,county
RO-MH,Mehedinți maakond,county
RO-MS,Mureși maakond,county
RO-NT,Neamți maakond,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-TR,Teleormani maakond,county
RO-TM,Timiș,county
RO-VL,Vâlcea maakond,county
