id,name,level
SE-K,Blekinge lään,county
SE-W,Dalarna lään,county
SE-I,Ojamaa lään,county
SE-X,Gävleborgi lään,county
SE-N,Hallandi lään,county
SE-Z,Jämtlandi lään,county
SE-F,Jönköpingi lään,county
SE-H,Kalmari lään,county
SE-G,Kronobergi lään,county
SE-BD,Norrbotteni lään,county
SE-M,Skåne lään,county
SE-AB,Stockholmi lään,county
SE-D,Södermanlandi lään,county
SE-C,Uppsala lään,county
SE-S,Värmlandi lään,county
SE-AC,Västerbotteni lään,county
SE-Y,Västernorrlandi lään,county
SE-U,Västmanlandi lään,county
SE-O,Västra Götalandi lään,county
SE-T,Örebro lään,county
SE-E,Östergötlandi lään,county
