id,name,level
UA-71,Tšerkassõ oblast,region
UA-74,Tšernigivi oblast,region
UA-77,Tšernivtsi oblast,region
UA-43,Krimm,autonomous republic
UA-12,Dnipropetrovski oblast,region
UA-14,Donetski oblast,region
UA-26,Ivano-Frankivski oblast,region
UA-63,Harkivi oblast,region
UA-65,Hersoni oblast,region
UA-68,Hmelnõtskõi oblast,region
UA-30,Kiiev,region
UA-32,Kiievi oblast,region
UA-35,Kirovogradi oblast,region
UA-09,Luganski oblast,region
UA-46,Lvivi oblast,region
UA-48,Mõkolajivi oblast,region
UA-51,Odessa oblast,region
UA-53,Poltava oblast,region
UA-56,Rivne oblast,region
UA-40,Sevastopol,region
UA-59,Sumõ oblast,region
UA-61,Ternopili oblast,region
UA-05,Vinnõtsja oblast,region
UA-07,Volõõnia oblast,region
UA-21,Taga-Karpaatia,region
UA-23,Zaporižžja oblast,region
UA-18,Žõtomõri oblast,region
