id,name,level
CH-BL,Canton de Bâle-Campagne,canton
CH-BS,Canton de Bâle-Ville,canton
CH-BE,Berne,canton
CH-FR,Fribourg,canton
CH-GL,Glaris,canton
CH-GR,Canton des Grisons,canton
CH-JU,Jura,canton
CH-NE,Neuchâtel,canton
CH-NW,Canton de Nidwald,canton
CH-SH,Schaffhouse,canton
CH-SZ,Schwytz,canton
CH-SO,Soleure,canton
CH-TG,Canton de Thurgovie,canton
CH-TI,Canton du Tessin,canton
CH-UR,Uri,canton
CH-VS,Canton du Valais,canton
CH-VD,Canton de Vaud,canton
CH-ZG,Zoug,canton
CH-GE,Genève,canton
CH-LU,Lucerne,canton
CH-ZH,Zurich,canton
