id,name,level
ES-C,La Corogne,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andalousie,
ES-AS,Asturies,autonomous community
ES-BA,Badajoz,province
ES-IB,Îles Baléares,autonomous community
ES-B,Barcelone,province
ES-PV,Pays basque,autonomous community
ES-BU,Burgos,province
ES-CA,Cadix,province
ES-S,Cantabrie,province
ES-CM,Castille-La Manche,autonomous community
ES-CL,Castille-et-León,autonomous community
ES-CT,Catalogne,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CC,Cáceres,province
ES-CO,Córdoba,province
ES-EX,Estrémadure,autonomous community
ES-GA,Galice,autonomous community
ES-SS,Guipuscoa,province
ES-GI,Gérone,province
ES-GR,Grenade,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca,province
ES-J,Jaén,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,Léon,province
ES-L,Lérida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcie,autonomous community
ES-MA,Málaga,province
ES-NC,Communauté forale de Navarre,autonomous community
ES-OR,Orense,province
ES-P,Palencia,province
ES-PO,Pontevedra,province
ES-SA,Salamanque,province
ES-TF,Santa Cruz de Ténérife,province
ES-SG,Ségovie,province
ES-SE,Séville,province
ES-SO,Soria,province
ES-T,Tarragone,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Valence,province
ES-VC,Communauté valencienne,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Saragosse,province
ES-AV,Ávila,province
