id,name,level
GB-ARD,ARD,district council area (northern ireland)
GB-ABE,Aberdeen,council area (scotland)
GB-ABD,Aberdeenshire,council area (scotland)
GB-ANS,Angus,council area (scotland)
GB-AGB,Argyll and Bute,council area (scotland)
GB-ARM,Armagh,district council area (northern ireland)
GB-BLA,Ballymena,district council area (northern ireland)
GB-BLY,Ballymoney,district council area (northern ireland)
GB-BNE,Barnet,borough
GB-BNS,Barnsley,metropolitan district
GB-BAS,Bath and North East Somerset,unitary authority
GB-BDF,Bedfordshire,unitary authority
GB-BFS,Belfast,district council area (northern ireland)
GB-BEX,Bexley,borough
GB-BIR,Birmingham,metropolitan district
GB-BBD,Blackburn with Darwen,unitary authority
GB-BPL,Blackpool,unitary authority
GB-BGW,Blaenau Gwent,unitary authority (wales)
GB-BOL,Bolton,metropolitan district
GB-BMH,Bornemouth,unitary authority
GB-BRC,Bracknell Forest,unitary authority
GB-BRD,Bradford,metropolitan district
GB-BGE,Bridgend,unitary authority (wales)
GB-BNH,Brighton et Hove,unitary authority
GB-BST,Bristol,unitary authority
GB-BRY,Bromley,borough
GB-BKM,Buckinghamshire,two-tier county
GB-BUR,Bury,metropolitan district
GB-CAY,Caerphilly,unitary authority (wales)
GB-CLD,Calderdale,metropolitan district
GB-CAM,Cambridgeshire,two-tier county
GB-CMD,Camden,borough
GB-CRF,Cardiff,unitary authority (wales)
GB-CMN,Carmarthenshire,unitary authority (wales)
GB-CKF,Carrickfergus,district council area (northern ireland)
GB-CGN,Ceredigion,unitary authority (wales)
GB-CHS,Cheshire,
GB-CLK,Clackmannanshire,council area (scotland)
GB-CLR,Coleraine,district council area (northern ireland)
GB-CWY,Conwy,unitary authority (wales)
GB-CKT,Cookstown,district council area (northern ireland)
GB-CON,Cornouailles,unitary authority
GB-COV,Coventry,metropolitan district
GB-CGV,Craigavon,district council area (northern ireland)
GB-CRY,Croydon,borough
GB-BDG,District londonien de Barking et Dagenham,borough
GB-CSR,Robert Stewart,district council area (northern ireland)
GB-FER,Comté de Fermanagh,district council area (northern ireland)
GB-CMA,Cumbrie,two-tier county
GB-DAL,Darlington,unitary authority
GB-DEN,Denbighshire,unitary authority (wales)
GB-DER,Derby,unitary authority
GB-DBY,Derbyshire,two-tier county
GB-DRY,Derry,district council area (northern ireland)
GB-DEV,Devon,two-tier county
GB-DNC,Doncaster,metropolitan district
GB-DOR,Dorset,two-tier county
GB-DOW,Down,district council area (northern ireland)
GB-DUD,Dudley,metropolitan district
GB-DGY,Dumfries and Galloway,council area (scotland)
GB-DND,Dundee,council area (scotland)
GB-DGN,District de Dungannon and South Tyrone,district council area (northern ireland)
GB-DUR,Durham,unitary authority
GB-EAL,Ealing,borough
GB-EAY,East Ayrshire,council area (scotland)
GB-EDU,East Dunbartonshire,council area (scotland)
GB-ELN,East Lothian,council area (scotland)
GB-ERW,East Renfrewshire,council area (scotland)
GB-EDH,Édimbourg,council area (scotland)
GB-ENF,Enfield,borough
GB-ESS,Essex,two-tier county
GB-FAL,Falkirk,council area (scotland)
GB-FIF,Fife,council area (scotland)
GB-FLN,Flintshire,unitary authority (wales)
GB-GAT,Gateshead,metropolitan district
GB-GLG,Glasgow,council area (scotland)
GB-GLS,Gloucestershire,two-tier county
GB-GRE,Greenwich,borough
GB-GWN,Gwynedd,unitary authority (wales)
GB-HAL,Halton,unitary authority
GB-HAM,Hampshire,two-tier county
GB-HPL,Hartlepool,unitary authority
GB-HEF,Herefordshire,unitary authority
GB-HRT,Hertfordshire,two-tier county
GB-HIL,Hillingdon,borough
GB-HNS,Hounslow,borough
GB-IVC,Inverclyde,council area (scotland)
GB-HMF,District londonien de Hammersmith et Fulham,borough
GB-ELS,Hébrides extérieures,council area (scotland)
GB-AGY,Anglesey,unitary authority (wales)
GB-LND,Cité de Londres,city corporation
GB-IOW,Île de Wight,unitary authority
GB-IOS,Sorlingues,
