id,name,level
IE-CW,Carlow,county
IE-CN,Cavan,county
IE-CE,Clare,county
IE-LS,Comté de Laois,county
IE-WH,Comté de Westmeath,county
IE-DL,Donegal,county
IE-D,Dublin,county
IE-G,Galway,county
IE-KY,Kerry,county
IE-KE,Kildare,county
IE-KK,Kilkenny,county
IE-L,Leinster,province
IE-LK,Limerick,county
IE-LD,Longford,county
IE-MO,Mayo,county
IE-MN,Monaghan,county
IE-M,Munster,province
IE-RN,Roscommon,county
IE-SO,Sligo,county
IE-TA,Tipperary,county
IE-U,Ulster,province
IE-WD,Waterford,county
IE-WX,Wexford,county
IE-WW,Wicklow,county
