id,name,level
NL-AW,Aruba,country
NL-BQ1,Bonaire,special municipality
NL-CW,Curaçao,country
NL-DR,Drenthe,province
NL-FL,Flevoland,province
NL-FR,Frise,province
NL-GE,Gueldre,province
NL-GR,Groningue,province
NL-LI,Limbourg,province
NL-NB,Brabant-Septentrional,province
NL-NH,Hollande-Septentrionale,province
NL-OV,Overijssel,province
NL-BQ2,Saba,special municipality
NL-BQ3,Saint-Eustache,special municipality
NL-SX,Saint-Martin,country
NL-ZH,Hollande-Méridionale,province
NL-UT,Utrecht,province
NL-ZE,Zélande,province
