id,name,level
NO-06,Comté de Buskerud,county
NO-20,Comté de Finnmark,county
NO-04,Comté de Hedmark,county
NO-12,Comté de Hordaland,county
NO-22,Île Jan Mayen,
NO-15,Comté de Møre og Romsdal,county
NO-17,Comté de Nord-Trøndelag,county
NO-18,Comté de Nordland,county
NO-03,Oslo,county
NO-11,Comté de Rogaland,county
NO-14,Comté de Sogn og Fjordane,county
NO-21,Svalbard,
NO-16,Comté de Sør-Trøndelag,county
NO-08,Comté de Telemark,county
NO-19,Comté de Troms,county
NO-10,Comté de Vest-Agder,county
NO-07,Comté de Vestfold,county
