id,name,level
PL-WP,Voïvodie de Grande-Pologne,voivodship
PL-KP,Couïavie-Poméranie,voivodship
PL-MA,Voïvodie de Petite-Pologne,voivodship
PL-DS,Voïvodie de Basse-Silésie,voivodship
PL-LU,Voïvodie de Lublin,voivodship
PL-LB,Voïvodie de Lubusz,voivodship
PL-MZ,Voïvodie de Mazovie,voivodship
PL-PK,Voïvodie des Basses-Carpates,voivodship
PL-PD,Voïvodie de Podlachie,voivodship
PL-PM,Voïvodie de Poméranie,voivodship
PL-SL,Voïvodie de Silésie,voivodship
PL-WN,Voïvodie de Varmie-Mazurie,voivodship
PL-ZP,Voïvodie de Poméranie occidentale,voivodship
PL-SK,Voïvodie de Sainte-Croix,voivodship
