id,name,level
RO-BC,Bacău,county
RO-BN,Județ de Bistrița-Năsăud,county
RO-BT,Botoșani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,Bucarest,city
RO-BZ,Buzău,county
RO-CS,Județ de Caraș-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-CV,Covasna,county
RO-CL,Călărași,county
RO-DJ,Județ de Dolj,county
RO-DB,Dâmbovița,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Județ de Gorj,county
RO-HR,Județ de Harghita,county
RO-HD,Hunedoara,county
RO-IS,Iași,county
RO-MM,Marmatie,county
RO-MH,Județ de Mehedinți,county
RO-MS,Județ de Mureș,county
RO-NT,Județ de Neamț,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Județ de Teleorman,county
RO-TM,Timiș,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VL,Județ de Vâlcea,county
