id,name,level
RS-00,Belgrade,city
RS-14,Bor,district
RS-11,Braničevo,district
RS-02,Banat central,district
RS-23,Jablanica,district
RS-09,Kolubara,district
RS-29,District de Kosovo-Pomoravlje,district
RS-25,Kosovo,district
RS-08,Mačva,district
RS-17,Moravica,district
RS-20,Nišava,district
RS-03,Banat septentrional,district
RS-01,Bačka septentrionale,district
RS-22,Pirot,district
RS-10,Podunavlje,district
RS-13,Pomoravlje,district
RS-24,Pčinja,district
RS-19,Rasina,district
RS-04,Banat méridional,district
RS-07,Syrmie,district
RS-16,Zlatibor,district
RS-12,Šumadija,district
RS-28,Kosovska Mitrovica,district
RS-26,District de Peć,district
