id,name,level
SE-K,Comté de Blekinge,county
SE-W,Comté de Dalécarlie,county
SE-I,Comté de Gotland,county
SE-X,Comté de Gävleborg,county
SE-N,Comté de Halland,county
SE-Z,Comté de Jämtland,county
SE-F,Comté de Jönköping,county
SE-H,Comté de Kalmar,county
SE-G,Comté de Kronoberg,county
SE-BD,Comté de Norrbotten,county
SE-M,Comté de Scanie,county
SE-AB,Comté de Stockholm,county
SE-D,Comté de Södermanland,county
SE-S,Comté de Värmland,county
SE-AC,Comté de Västerbotten,county
SE-Y,Comté de Västernorrland,county
SE-U,Comté de Västmanland,county
SE-O,Comté de Västra Götaland,county
