id,name,level
UA-71,Oblast de Tcherkassy,region
UA-74,Oblast de Tchernihiv,region
UA-77,Oblast de Tchernivtsi,region
UA-43,Crimée,autonomous republic
UA-12,Oblast de Dnipropetrovsk,region
UA-14,Oblast de Donetsk,region
UA-63,Oblast de Kharkiv,region
UA-65,Oblast de Kherson,region
UA-68,Oblast de Khmelnitski,region
UA-30,Kiev,region
UA-32,Oblast de Kiev,region
UA-35,Oblast de Kirovohrad,region
UA-09,Oblast de Louhansk,region
UA-46,Oblast de Lviv,region
UA-48,Oblast de Mykolaïv,region
UA-53,Oblast de Poltava,region
UA-56,Oblast de Rivne,region
UA-40,Sébastopol,region
UA-59,Oblast de Soumy,region
UA-61,Oblast de Ternopil,region
UA-05,Oblast de Vinnytsia,region
UA-07,Oblast de Volhynie,region
UA-21,Oblast de Transcarpatie,region
UA-23,Oblast de Zaporijia,region
UA-18,Oblast de Jytomyr,region
