id,name,level
DE-BW,Baden-Württemberg,state
DE-BY,Baviera - Bayern,state
DE-BE,Berlín - Berlin,state
DE-BB,Brandeburgo - Brandenburg,state
DE-HB,Bremen,state
DE-HH,Hamburgo - Hamburg,state
DE-HE,Hessen,state
DE-NI,Baixa Saxonia - Niedersachsen,state
DE-MV,Mecklemburgo-Antepomerania - Mecklenburg-Vorpommern,state
DE-NW,Renania do Norte-Westfalia - Nordrhein-Westfalen,state
DE-RP,Renania-Palatinado - Rheinland-Pfalz,state
DE-SL,Sarre - Saarland,state
DE-SN,Saxonia - Sachsen,state
DE-ST,Saxonia-Anhalt - Sachsen-Anhalt,state
DE-SH,Schleswig-Holstein,state
DE-TH,Turinxia - Thüringen,state
