id,name,level
ES-C,A Coruña,province
ES-AB,Albacete,province
ES-A,Alacant - Alicante,province
ES-AL,Almería,province
ES-AN,Andalucía,
ES-AS,Principado de Asturias,autonomous community
ES-BA,Badaxoz - Badajoz,province
ES-IB,Illas Baleares - Illes Balears,autonomous community
ES-B,Barcelona,province
ES-PV,País Vasco,autonomous community
ES-BU,Burgos,province
ES-CA,Cádiz,province
ES-S,Cantabria,province
ES-CM,Castela-A Mancha - Castilla-La Mancha,autonomous community
ES-CL,Castela e León - Castilla y León,autonomous community
ES-CT,Cataluña - Catalunya,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Cidade Real - Ciudad Real,province
ES-CU,Cuenca,province
ES-CO,Córdoba,province
ES-EX,Estremadura - Extremadura,autonomous community
ES-GA,Galicia,autonomous community
ES-SS,Provincia de Guipúscoa - Gipuzkoa,province
ES-GI,Xirona - Girona,province
ES-GR,Granada,province
ES-GU,Guadalaxara - Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca - Uesca,province
ES-J,Xaén,province
ES-GC,As Palmas de Gran Canaria - Las Palmas de Gran Canaria,province
ES-LE,León,province
ES-L,Lleida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra - Nafarroa,autonomous community
ES-OR,Ourense,province
ES-P,Palencia,province
ES-PO,Pontevedra,province
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segovia,province
ES-SE,Sevilla,province
ES-SO,Soria,province
ES-T,Tarragona,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Valencia - València,province
ES-VC,Comunidade Valenciana - Comunitat Valenciana,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Zaragoza,province
ES-VI,Provincia de Álava - Araba,province
