id,name,level
FR-01,Ain,metropolitan department
FR-02,Aisne,metropolitan department
FR-03,Allier,metropolitan department
FR-06,Alpes Marítimos,metropolitan department
FR-04,Alpes da Alta Provenza,metropolitan department
FR-A,Alsacia,metropolitan regions
FR-B,Aquitania,metropolitan regions
FR-07,Ardèche,metropolitan department
FR-09,Ariège,metropolitan department
FR-10,Aube,metropolitan department
FR-11,Aude,metropolitan department
FR-12,Aveyron,metropolitan department
FR-67,Baixo Rin,metropolitan department
FR-13,Bocas de Ródano,metropolitan department
FR-E,Bretaña,metropolitan regions
FR-14,Calvados,metropolitan department
FR-15,Cantal,metropolitan department
FR-G,Champaña-Ardenas,metropolitan regions
FR-16,Charente,metropolitan department
FR-17,Charente Marítimo,metropolitan department
FR-18,Cher,metropolitan department
FR-CP,Illa Clipperton,dependency
FR-19,Corrèze,metropolitan department
FR-2A,Córsega do Sur,metropolitan department
FR-H,Córsega - Corse - Corsica,metropolitan regions
FR-23,Creuse,metropolitan department
FR-79,Deux-Sèvres,metropolitan department
FR-24,Dordoña,metropolitan department
FR-25,Doubs,metropolitan department
FR-26,Drôme,metropolitan department
FR-91,Essonne,metropolitan department
FR-27,Eure,metropolitan department
FR-28,Eure e Loir,metropolitan department
FR-29,Finistère,metropolitan department
FR-I,Franco Condado,metropolitan regions
FR-30,Gard,metropolitan department
FR-32,Gers,metropolitan department
FR-33,Xironda,metropolitan department
FR-GP,Guadalupe - Guadeloupe,overseas regions
FR-68,Alto Rin,metropolitan department
FR-2B,Alta Córsega,metropolitan department
FR-31,Alta Garona,metropolitan department
FR-P,Baixa Normandía,metropolitan regions
FR-GF,Güiana Francesa - Guyane française,overseas regions
FR-43,Alto Loira,metropolitan department
FR-52,Alto Marne,metropolitan department
FR-74,Alta Savoia,metropolitan department
FR-70,Alto Saona,metropolitan department
FR-87,Alto Vienne,metropolitan department
FR-05,Alpes Altos,metropolitan department
FR-65,Altos Pireneos,metropolitan department
FR-92,Hauts-de-Seine,metropolitan department
FR-34,Hérault,metropolitan department
FR-35,Ille e Vilaine,metropolitan department
FR-36,Indre,metropolitan department
FR-37,Indre e Loira,metropolitan department
FR-38,Isère,metropolitan department
FR-39,Jura,metropolitan department
FR-K,Languedoc-Rosellón,metropolitan regions
FR-L,Lemosín,metropolitan regions
FR-41,Loir e Cher,metropolitan department
FR-42,Loira,metropolitan department
FR-44,Loira Atlántico,metropolitan department
FR-45,Loiret,metropolitan department
FR-47,Lot e Garona,metropolitan department
FR-48,Lozère,metropolitan department
FR-49,Maine e Loira,metropolitan department
FR-50,Mancha,metropolitan department
FR-51,Marne,metropolitan department
FR-MQ,Martinica - Martinique,overseas regions
FR-53,Mayenne,metropolitan department
FR-YT,Mayotte,territorial collectivity
FR-54,Meurthe e Mosela,metropolitan department
FR-55,Mosa,metropolitan department
FR-N,Mediodía-Pireneos,metropolitan regions
FR-56,Morbihan,metropolitan department
FR-57,Mosela,metropolitan department
FR-58,Nièvre,metropolitan department
FR-O,Norte-Paso de Calais,metropolitan regions
FR-60,Oise,metropolitan department
FR-61,Orne,metropolitan department
FR-75,París - Paris,metropolitan department
FR-62,Pas-de-Calais,metropolitan department
FR-R,País do Loira,metropolitan regions
FR-S,Picardía,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Alta Normandía,metropolitan regions
FR-PF,Polinesia Francesa - Polynésie française,overseas territory
FR-NC,Nova Caledonia,overseas territory
FR-RE,Reunión - Réunion,overseas regions
FR-U,Provenza-Alpes-Costa Azul,metropolitan regions
FR-63,Puy-de-Dôme,metropolitan department
FR-64,Pireneos Atlánticos,metropolitan department
FR-66,Pireneos Orientais,metropolitan department
FR-69,Río Ródano,metropolitan department
FR-V,Ródano-Alpes,metropolitan regions
FR-72,Sarthe,metropolitan department
FR-73,Savoia,metropolitan department
FR-71,Saona e Loira,metropolitan department
FR-76,Seine-Maritime,metropolitan department
FR-93,Sena-San Denis,metropolitan department
FR-77,Sena e Marne,metropolitan department
FR-82,Tarn-et-Garonne,metropolitan department
FR-90,Territorio de Belfort,metropolitan department
FR-95,Val do Oise,metropolitan department
FR-94,Val do Marne,metropolitan department
FR-83,Var,metropolitan department
FR-84,Vaucluse,metropolitan department
FR-85,Vendée,metropolitan department
FR-86,Vienne,metropolitan department
FR-88,Vosgos,metropolitan department
FR-89,Yonne,metropolitan department
FR-78,Yvelines,metropolitan department
FR-BL,San Bartolomé - Saint-Barthélemy,overseas territorial collectivity
FR-PM,San Pedro e Miguelón - Saint Pierre et Miquelon,territorial collectivity
FR-WF,Wallis e Futuna,overseas territory
