id,name,level
IE-CW,Carlow - Ceatharlach,county
IE-CN,Cavan - An Cabhán,county
IE-LS,Condado de Laois,county
IE-OY,Condado de Offaly,county
IE-WH,Condado de Westmeath,county
IE-D,Dublín - Baile Átha Cliath,county
IE-G,Galway - Gaillimh,county
IE-KY,Kerry,county
IE-KK,Kilkenny - Cill Chainnigh,county
IE-L,Leinster - Cúige Laighean,province
IE-LK,Limerick - Luimneach,county
IE-LD,Longford - An Longfort,county
IE-M,Munster - Cúige Mumhan,province
IE-SO,Sligo - Sligeach,county
IE-U,Úlster - Cúige Uladh,province
IE-WD,Waterford - Port Láirge,county
IE-WX,Wexford - Loch Garman,county
IE-WW,Wicklow - Cill Mhantáin,county
