id,name,level
NL-AW,Aruba,country
NL-BQ1,Bonaire,special municipality
NL-CW,Curaçao,country
NL-DR,Drenthe,province
NL-FL,Flevoland,province
NL-FR,Frisia - Fryslân,province
NL-GE,Gueldria - Gelderland,province
NL-GR,Groninga - Groningen,province
NL-NB,Brabante do Norte - Noord Brabant,province
NL-NH,Holanda Setentrional - Noord-Holland,province
NL-OV,Overijssel,province
NL-BQ2,Saba,special municipality
NL-BQ3,San Eustaquio,special municipality
NL-ZH,Holanda Meridional - Zuid-Holland,province
NL-UT,Utrecht,province
NL-ZE,Celandia - Zeeland,province
