id,name,level
RO-BC,Bacău,county
RO-BH,Bihor,county
RO-BN,Condado de Bistriţa-Năsăud,county
RO-BV,Brașov,county
RO-B,Bucarest - Bucureşti,city
RO-CS,Condado de Caraş-Severin,county
RO-CJ,Cluj-Napoca,county
RO-DJ,Condado de Dolj,county
RO-GJ,Condado de Gorj,county
RO-HR,Condado de Harghita,county
RO-IS,Iaşi,county
RO-IF,Condado de Ilfov,county
RO-MM,Maramureş,county
RO-MH,Condado de Mehedinţi,county
RO-MS,Condado de Mureş,county
RO-NT,Condado de Neamţ,county
RO-SB,Sibiu,county
RO-TR,Condado de Teleorman,county
RO-VS,Vaslui,county
RO-VL,Condado de Vâlcea,county
