id,name,level
SE-K,Condado de Blekinge,county
SE-W,Condado de Dalarna,county
SE-X,Condado de Gävleborg,county
SE-N,Condado de Halland,county
SE-Z,Condado de Jämtland,county
SE-F,Condado de Jönköping,county
SE-H,Condado de Kalmar,county
SE-G,Condado de Kronoberg,county
SE-BD,Condado de Norrbotten,county
SE-M,Escania,county
SE-AB,Condado de Estocolmo,county
SE-D,Södermanland,county
SE-C,Condado de Uppsala,county
SE-AC,Condado de Västerbotten,county
SE-Y,Condado de Västernorrland,county
SE-U,Condado de Västmanland,county
SE-O,Condado de Västra Götaland,county
SE-T,Condado de Örebro,county
SE-E,Condado de Östergötland,county
