country,id,name,level
AD,AD-07,אנדורה לה ולה,parish
AT,AT-1,בורגנלנד,state
AT,AT-3,אוסטריה תחתית,state
AT,AT-5,זלצבורג,state
AT,AT-6,שטיריה,state
AT,AT-7,טירול,state
AT,AT-4,אוסטריה עילית,state
AT,AT-9,וינה,state
AT,AT-8,פורארלברג,state
BY,BY-HM,מינסק,city
BE,BE-VAN,אנטוורפן,province
BE,BE-BRU,בריסל,capital region
BE,BE-WLX,לוקסמבורג,province
BE,BE-WAL,ולוניה,region
CA,CA-AB,אלברטה,province
CA,CA-BC,קולומביה הבריטית,province
CA,CA-MB,מניטובה,province
CA,CA-NB,ניו ברנזוויק,province
CA,CA-NL,ניופאונדלנד ולברדור,province
CA,CA-NT,הטריטוריות הצפון-מערביות,territory
CA,CA-NS,נובה סקוטיה,province
CA,CA-NU,נונאווט,territory
CA,CA-ON,אונטריו,province
CA,CA-PE,אי הנסיך אדוארד,province
CA,CA-QC,קוויבק,province
CA,CA-YT,יוקון,territory
CL,CL-AT,מדבר אטקמה,region
CL,CL-VS,ולפראיסו,region
DK,DK-070,אורהוס,county
DK,DK-040,בורנהולם,county
DK,DK-015,קופנהגן,county
DK,DK-85,זיילנד,region
EE,EE-37,מחוז האריו,county
EE,EE-39,היומאה,county
EE,EE-44,מחוז אידה-וירו,county
EE,EE-51,מחוז יארבה,county
EE,EE-49,מחוז ייגבה,county
EE,EE-59,מחוז לאנה-וירו,county
EE,EE-57,מחוז לאנה,county
EE,EE-67,מחוז פרנו,county
EE,EE-65,מחוז פילבה,county
EE,EE-70,מחוז ראפלה,county
EE,EE-74,סארמאה,county
EE,EE-78,מחוז טרטו,county
EE,EE-82,מחוז ולגה,county
EE,EE-84,מחוז ויליאנדי,county
EE,EE-86,מחוז וורו,county
FR,FR-01,אן,metropolitan department
FR,FR-02,אן,metropolitan department
FR,FR-03,אלייה,metropolitan department
FR,FR-06,האלפים הימיים,metropolitan department
FR,FR-04,האלפים של פרובאנס עילית,metropolitan department
FR,FR-A,אלזס,metropolitan regions
FR,FR-B,אקיטן,metropolitan regions
FR,FR-08,ארדנים,metropolitan department
FR,FR-07,ארדש,metropolitan department
FR,FR-10,אוב,metropolitan department
FR,FR-11,אוד,metropolitan department
FR,FR-12,אוורון,metropolitan department
FR,FR-67,ריין תחתון,metropolitan department
FR,FR-D,בורגונדי,metropolitan regions
FR,FR-14,קלבדוס,metropolitan department
FR,FR-F,מרכז,metropolitan regions
FR,FR-G,שמפאן-ארדן,metropolitan regions
FR,FR-17,השראנט הימי,metropolitan department
FR,FR-18,שר,metropolitan department
FR,FR-CP,קליפרטון,dependency
FR,FR-2A,קורסיקה הדרומית,metropolitan department
FR,FR-H,קורסיקה,metropolitan regions
FR,FR-25,דו,metropolitan department
FR,FR-29,פיניסטר,metropolitan department
FR,FR-I,פראנש-קונטה,metropolitan regions
FR,FR-GP,גוואדלופ,overseas regions
FR,FR-2B,קורסיקה עילית,metropolitan department
FR,FR-P,נורמנדי תחתית,metropolitan regions
FR,FR-GF,גיאנה הצרפתית,overseas regions
FR,FR-74,סבואה עילית,metropolitan department
FR,FR-05,האלפים העליונים,metropolitan department
FR,FR-92,רמות הסן,metropolitan department
FR,FR-34,ארו,metropolitan department
FR,FR-35,איל ווילן,metropolitan department
FR,FR-37,אנדר ולואר,metropolitan department
FR,FR-K,לנגדוק-רוסיון,metropolitan regions
FR,FR-42,לואר,metropolitan department
FR,FR-44,הלואר האטלנטי,metropolitan department
FR,FR-M,לוריין,metropolitan regions
FR,FR-46,לוט,metropolitan department
FR,FR-48,לוזר,metropolitan department
FR,FR-50,מאנש,metropolitan department
FR,FR-MQ,מרטיניק,overseas regions
FR,FR-YT,מיוט,territorial collectivity
FR,FR-N,מידי-פירנה,metropolitan regions
FR,FR-57,מוזל,metropolitan department
FR,FR-O,נור-פה דה קאלה,metropolitan regions
FR,FR-61,אורן,metropolitan department
FR,FR-75,פריז,metropolitan department
FR,FR-62,פה-דה-קאלה,metropolitan department
FR,FR-R,פיי דה לה לואר,metropolitan regions
FR,FR-S,פיקרדי,metropolitan regions
FR,FR-T,פואטו-שראנט,metropolitan regions
FR,FR-Q,נורמנדי עילית,metropolitan regions
FR,FR-PF,פולינזיה הצרפתית,overseas territory
FR,FR-NC,קלדוניה החדשה,overseas territory
FR,FR-RE,ראוניון,overseas regions
FR,FR-64,הפירנאים האטלנטיים,metropolitan department
FR,FR-69,רון,metropolitan department
FR,FR-V,רון-אלפ,metropolitan regions
FR,FR-73,סבואה,metropolitan department
FR,FR-76,סן-מריטים,metropolitan department
FR,FR-80,סום,metropolitan department
FR,FR-81,טארן,metropolitan department
FR,FR-82,טארן וגארון,metropolitan department
FR,FR-84,ווקלוז,metropolitan department
FR,FR-85,ונדה,metropolitan department
FR,FR-86,ויין,metropolitan department
FR,FR-89,יון,metropolitan department
FR,FR-BL,סן ברתלמי,overseas territorial collectivity
FR,FR-PM,סן פייר ומיקלון,territorial collectivity
FR,FR-WF,ואליס ופוטונה,overseas territory
DE,DE-BW,באדן-וירטמברג,state
DE,DE-BY,בוואריה,state
DE,DE-BE,ברלין,state
DE,DE-BB,ברנדנבורג,state
DE,DE-HB,ברמן,state
DE,DE-HH,המבורג,state
DE,DE-HE,הסן,state
DE,DE-NI,סקסוניה התחתונה,state
DE,DE-MV,מקלנבורג-מערב פומרניה,state
DE,DE-NW,נורדריין-וסטפאליה,state
DE,DE-RP,ריינלנד-פאלץ,state
DE,DE-SL,חבל הסאר,state
DE,DE-SN,סקסוניה,state
DE,DE-ST,סקסוניה-אנהלט,state
DE,DE-SH,שלזוויג-הולשטיין,state
DE,DE-TH,תורינגיה,state
GH,GH-TV,וולטה,region
IN,IN-AN,איי אנדמן וניקובר,union territory
IN,IN-AP,אנדרה פראדש,state
IN,IN-AS,אסאם,state
IN,IN-BR,ביהר,state
IN,IN-DN,דאדרה ונאגר הבלי,union territory
IN,IN-DD,דאמאן ודיו,union territory
IN,IN-DL,דלהי,union territory
IN,IN-GA,גואה,state
IN,IN-HR,הריאנה,state
IN,IN-KA,קארנאטקה,state
IN,IN-KL,קרלה,state
IN,IN-LD,לקשאדוויפ,union territory
IN,IN-MP,מאדהיה פראדש,state
IN,IN-MH,מהאראשטרה,state
IN,IN-MN,מאניפור,state
IN,IN-ML,מגהלאיה,state
IN,IN-MZ,מיזוראם,state
IN,IN-NL,נאגאלנד,state
IN,IN-OR,אוריסה,state
IN,IN-SK,סיקים,state
IN,IN-TN,טאמיל נאדו,state
IN,IN-TR,טריפורה,state
IN,IN-UP,אוטר פראדש,state
IN,IN-UT,אוטראקהאנד,state
IN,IN-WB,מערב בנגל,state
IE,IE-D,דבלין,county
IE,IE-G,גולוויי,county
IE,IE-L,לנסטר,province
IE,IE-LK,לימריק,county
IE,IE-M,מנסטר,province
IE,IE-U,אלסטר,province
IL,IL-HA,חיפה,district
IL,IL-JM,ירושלים,district
IL,IL-TA,תל אביב-יפו,district
IT,IT-65,אברוצו,region
IT,IT-AL,אלסנדריה,province
IT,IT-AN,אנקונה,province
