id,name,level
ES-AB,אלבסטה,province
ES-A,אליקנטה,province
ES-AN,אנדלוסיה,
ES-AS,אסטוריאס,autonomous community
ES-BA,בדחוס,province
ES-IB,האיים הבלאריים,autonomous community
ES-B,ברצלונה,province
ES-CA,קדיס,province
ES-S,קנטבריה,province
ES-CL,קסטיליה ולאון,autonomous community
ES-CT,קטלוניה,autonomous community
ES-CE,סאוטה,autonomous city
ES-CR,סיודאד ריאל,province
ES-CU,קואנקה,province
ES-CO,קורדובה,province
ES-EX,אקסטרמדורה,autonomous community
ES-GR,גרנדה,province
ES-GU,גוודלחרה,province
ES-HU,אואסקה,province
ES-LE,לאון,province
ES-L,ליידה,province
ES-LU,לוגו,province
ES-MD,מדריד,autonomous community
ES-ML,מלייה,autonomous city
ES-MC,מורסיה,autonomous community
ES-MA,מאלגה,province
ES-NC,נווארה,autonomous community
ES-SA,סלמנקה,province
ES-TF,סנטה קרוס דה טנריפה,province
ES-SG,סגוביה,province
ES-SE,סביליה,province
ES-SO,סוריה,province
ES-T,טרגונה,province
ES-V,ולנסיה,province
ES-VC,ולנסיה,autonomous community
ES-VA,ואיאדוליד,province
ES-Z,סרגוסה,province
