id,name,level
FR-01,אן,metropolitan department
FR-02,אן,metropolitan department
FR-03,אלייה,metropolitan department
FR-06,האלפים הימיים,metropolitan department
FR-04,האלפים של פרובאנס עילית,metropolitan department
FR-A,אלזס,metropolitan regions
FR-B,אקיטן,metropolitan regions
FR-08,ארדנים,metropolitan department
FR-07,ארדש,metropolitan department
FR-10,אוב,metropolitan department
FR-11,אוד,metropolitan department
FR-12,אוורון,metropolitan department
FR-67,ריין תחתון,metropolitan department
FR-D,בורגונדי,metropolitan regions
FR-14,קלבדוס,metropolitan department
FR-F,מרכז,metropolitan regions
FR-G,שמפאן-ארדן,metropolitan regions
FR-17,השראנט הימי,metropolitan department
FR-18,שר,metropolitan department
FR-CP,קליפרטון,dependency
FR-2A,קורסיקה הדרומית,metropolitan department
FR-H,קורסיקה,metropolitan regions
FR-25,דו,metropolitan department
FR-29,פיניסטר,metropolitan department
FR-I,פראנש-קונטה,metropolitan regions
FR-GP,גוואדלופ,overseas regions
FR-2B,קורסיקה עילית,metropolitan department
FR-P,נורמנדי תחתית,metropolitan regions
FR-GF,גיאנה הצרפתית,overseas regions
FR-74,סבואה עילית,metropolitan department
FR-05,האלפים העליונים,metropolitan department
FR-92,רמות הסן,metropolitan department
FR-34,ארו,metropolitan department
FR-35,איל ווילן,metropolitan department
FR-37,אנדר ולואר,metropolitan department
FR-K,לנגדוק-רוסיון,metropolitan regions
FR-42,לואר,metropolitan department
FR-44,הלואר האטלנטי,metropolitan department
FR-M,לוריין,metropolitan regions
FR-46,לוט,metropolitan department
FR-48,לוזר,metropolitan department
FR-50,מאנש,metropolitan department
FR-MQ,מרטיניק,overseas regions
FR-YT,מיוט,territorial collectivity
FR-N,מידי-פירנה,metropolitan regions
FR-57,מוזל,metropolitan department
FR-O,נור-פה דה קאלה,metropolitan regions
FR-61,אורן,metropolitan department
FR-75,פריז,metropolitan department
FR-62,פה-דה-קאלה,metropolitan department
FR-R,פיי דה לה לואר,metropolitan regions
FR-S,פיקרדי,metropolitan regions
FR-T,פואטו-שראנט,metropolitan regions
FR-Q,נורמנדי עילית,metropolitan regions
FR-PF,פולינזיה הצרפתית,overseas territory
FR-NC,קלדוניה החדשה,overseas territory
FR-RE,ראוניון,overseas regions
FR-64,הפירנאים האטלנטיים,metropolitan department
FR-69,רון,metropolitan department
FR-V,רון-אלפ,metropolitan regions
FR-73,סבואה,metropolitan department
FR-76,סן-מריטים,metropolitan department
FR-80,סום,metropolitan department
FR-81,טארן,metropolitan department
FR-82,טארן וגארון,metropolitan department
FR-84,ווקלוז,metropolitan department
FR-85,ונדה,metropolitan department
FR-86,ויין,metropolitan department
FR-89,יון,metropolitan department
FR-BL,סן ברתלמי,overseas territorial collectivity
FR-PM,סן פייר ומיקלון,territorial collectivity
FR-WF,ואליס ופוטונה,overseas territory
