id,name,level
GB-ABE,אברדין,council area (scotland)
GB-AGB,ארגייל וביוט,council area (scotland)
GB-BDF,בדפורדשייר,unitary authority
GB-BFS,בלפאסט,district council area (northern ireland)
GB-BIR,ברמינגהאם,metropolitan district
GB-BST,בריסטול,unitary authority
GB-CMD,קמדן,borough
GB-CRF,קארדיף,unitary authority (wales)
GB-CON,קורנוול,unitary authority
GB-COV,קובנטרי,metropolitan district
GB-BDG,בארקינג ודאגנהאם,borough
GB-CMA,קאמבריה,two-tier county
GB-DEN,דנבישייר,unitary authority (wales)
GB-DER,דרבי,unitary authority
GB-DBY,דרבישייר,two-tier county
GB-DRY,דרי,district council area (northern ireland)
GB-DOR,דורסט,two-tier county
GB-DUR,דרהאם,unitary authority
GB-EAL,אילינג,borough
GB-EDH,אדינבורו,council area (scotland)
GB-ENF,אנפילד,borough
GB-ESS,אסקס,two-tier county
GB-GAT,גייטסהד,metropolitan district
GB-GLG,גלאזגו,council area (scotland)
GB-GLS,גלוסטרשייר,two-tier county
GB-HAM,המפשייר,two-tier county
GB-HRW,הארו,borough
GB-HAV,הברינג,borough
GB-AGY,אנגלסי,unitary authority (wales)
GB-LND,הסיטי של לונדון,city corporation
GB-IOW,האי וייט,unitary authority
GB-IOS,איי סילי,
GB-ISL,איזלינגטון,borough
GB-KEN,קנט,two-tier county
GB-KHL,האל,unitary authority
GB-LAN,לנקשייר,two-tier county
GB-LRN,לרן,district council area (northern ireland)
GB-LDS,לידס,metropolitan district
GB-LCE,לסטר,unitary authority
GB-LIV,ליברפול,metropolitan district
GB-NWM,ניוהאם,borough
GB-MDB,מידלסברו,unitary authority
GB-NET,ניוקאסל,metropolitan district
GB-NFK,נורפוק,two-tier county
GB-NGM,נוטינגהאם,unitary authority
GB-OLD,אולדהאם,metropolitan district
GB-ORK,אורקני,council area (scotland)
GB-OXF,אוקספורדשייר,two-tier county
GB-RDG,רדינג,unitary authority
GB-RUT,ראטלנד,unitary authority
GB-SHF,שפילד,metropolitan district
GB-ZET,איי שטלנד,council area (scotland)
GB-SOM,סאמרסט,two-tier county
GB-SFK,סאפוק,two-tier county
ENG,אנגליה,country
GB-TWH,טאוור האמלטס,borough
NIR,צפון אירלנד,country
SCT,סקוטלנד,country
GB-SWA,סוונסי,unitary authority (wales)
WLS,ויילס,country
GB-WAR,ווריקשייר,two-tier county
GB-WSM,וסטמינסטר,borough
GB-WLV,וולברהמפטון,metropolitan district
GB-WRX,רקסהאם,unitary authority (wales)
GB-YOR,יורק,unitary authority
