id,name,level
IN-AN,איי אנדמן וניקובר,union territory
IN-AP,אנדרה פראדש,state
IN-AS,אסאם,state
IN-BR,ביהר,state
IN-DN,דאדרה ונאגר הבלי,union territory
IN-DD,דאמאן ודיו,union territory
IN-DL,דלהי,union territory
IN-GA,גואה,state
IN-HR,הריאנה,state
IN-KA,קארנאטקה,state
IN-KL,קרלה,state
IN-LD,לקשאדוויפ,union territory
IN-MP,מאדהיה פראדש,state
IN-MH,מהאראשטרה,state
IN-MN,מאניפור,state
IN-ML,מגהלאיה,state
IN-MZ,מיזוראם,state
IN-NL,נאגאלנד,state
IN-OR,אוריסה,state
IN-SK,סיקים,state
IN-TN,טאמיל נאדו,state
IN-TR,טריפורה,state
IN-UP,אוטר פראדש,state
IN-UT,אוטראקהאנד,state
IN-WB,מערב בנגל,state
