id,name,level
IT-65,אברוצו,region
IT-AL,אלסנדריה,province
IT-AN,אנקונה,province
IT-AO,אאוסטה,province
IT-AR,ארצו,province
IT-AT,אסטי,province
IT-BA,בארי,province
IT-77,בזיליקטה,region
IT-BN,בנוונטו,province
IT-BG,ברגמו,province
IT-BI,ביאלה,province
IT-BO,בולוניה,province
IT-BZ,בולצנו,province
IT-BS,ברשה,province
IT-BR,ברינדיזי,province
IT-CA,קליארי,province
IT-78,קלבריה,region
IT-CL,קלטניסטה,province
IT-72,קמפניה,region
IT-CB,קמפובאסו,province
IT-CT,קטניה,province
IT-CZ,קטנזארו,province
IT-CO,קומו,province
IT-CR,קרמונה,province
IT-KR,קרוטונה,province
IT-CN,קונאו,province
IT-45,אמיליה-רומאניה,region
IT-EN,אנה,province
IT-FE,פרארה,province
IT-FI,פירנצה,province
IT-GO,גוריציה,province
IT-BT,בארלטה-אנדריה-טראני,province
IT-CI,קרבוניה איגלסיס,province
IT-75,פוליה,region
IT-SP,לה ספציה,province
IT-62,לאציו,region
IT-42,ליגוריה,region
IT-LI,ליבורנו,province
IT-25,לומברדיה,region
IT-LU,לוקה,province
IT-MN,מנטובה,province
IT-57,מארקה,region
IT-MT,מטרה,province
IT-ME,מסינה,province
IT-MI,מילאנו,province
IT-MO,מודנה,province
IT-67,מוליזה,region
IT-NA,נאפולי,province
IT-OR,אוריסטאנו,province
IT-PD,פאדובה,province
IT-PA,פלרמו,province
IT-PR,פארמה,province
IT-PV,פאביה,province
IT-21,פיימונטה,region
IT-PI,פיזה,province
IT-PT,פיסטויה,province
IT-PZ,פוטנצה,province
IT-PO,פראטו,province
IT-MS,מאסה-קרארה,province
IT-OL,אולביה טמפיו,province
IT-PU,פזארו אה אורבינו,province
IT-RG,רגוזה,province
IT-RA,רוונה,province
IT-RN,רימיני,province
IT-RM,רומא,province
IT-SA,סלרנו,province
IT-88,סרדיניה,region
IT-SS,סאסארי,province
IT-82,סיציליה,region
IT-SI,סיינה,province
IT-TA,טאראנטו,province
IT-TR,טרני,province
IT-TP,טרפאני,province
IT-TN,טרנטו,province
IT-TV,טרוויזו,province
IT-TS,טריאסטה,province
IT-TO,טורינו,province
IT-52,טוסקנה,region
IT-55,אומבריה,region
IT-VA,וארזה,province
IT-34,ונטו,region
IT-VE,ונציה,province
IT-VR,ורונה,province
IT-VV,ויבו ולנטיה,province
