id,name,level
US-AL,אלבמה,state
US-AK,אלסקה,state
US-AS,סמואה האמריקנית,outlying area
US-AZ,אריזונה,state
US-AR,ארקנסו,state
US-CA,קליפורניה,state
US-CO,קולורדו,state
US-CT,קונטיקט,state
US-DE,דלאוור,state
US-FL,פלורידה,state
US-GU,גואם,outlying area
US-HI,הוואי,state
US-ID,איידהו,state
US-IL,אילינוי,state
US-IN,אינדיאנה,state
US-IA,איווה,state
US-KS,קנזס,state
US-KY,קנטקי,state
US-LA,לואיזיאנה,state
US-ME,מיין,state
US-MD,מרילנד,state
US-MI,מישיגן,state
US-MN,מינסוטה,state
US-MS,מיסיסיפי,state
US-MO,מיזורי,state
US-MT,מונטנה,state
US-NE,נברסקה,state
US-NV,נבדה,state
US-NH,ניו המפשייר,state
US-NM,ניו מקסיקו,state
US-NY,ניו יורק,state
US-NC,קרוליינה הצפונית,state
US-ND,דקוטה הצפונית,state
US-MP,איי מריאנה הצפוניים,outlying area
US-OH,אוהיו,state
US-OK,אוקלהומה,state
US-OR,אורגון,state
US-PA,פנסילבניה,state
US-PR,פוארטו ריקו,outlying area
US-RI,רוד איילנד,state
US-SC,קרוליינה הדרומית,state
US-SD,דקוטה הדרומית,state
US-TN,טנסי,state
US-TX,טקסס,state
US-UT,יוטה,state
US-DC,וושינגטון די. סי.,district
US-VT,ורמונט,state
US-VI,איי הבתולה,outlying area
US-WA,וושינגטון,state
US-WI,ויסקונסין,state
US-WY,ויומינג,state
