id,name,level
CH-AG,Canton Argovia,canton
CH-AR,Canton Appenzello Esterno,canton
CH-AI,Canton Appenzello Interno,canton
CH-BL,Canton Basilea Campagna,canton
CH-BS,Canton Basilea Città,canton
CH-BE,Berna,canton
CH-FR,Friburgo,canton
CH-GL,Glarona,canton
CH-GR,Cantone dei Grigioni,canton
CH-JU,Giura,canton
CH-NE,Neuchâtel,canton
CH-NW,Canton Nidvaldo,canton
CH-OW,Canton Obvaldo,canton
CH-SG,San Gallo,canton
CH-SH,Sciaffusa,canton
CH-SZ,Svitto,canton
CH-SO,Soletta,canton
CH-TG,Canton Turgovia,canton
CH-TI,Canton Ticino,canton
CH-UR,URI,canton
CH-VS,Canton Vallese,canton
CH-VD,Canton Vaud,canton
CH-ZG,Zugo,canton
CH-GE,Ginevra,canton
CH-LU,Lucerna,canton
CH-ZH,Zurigo,canton
